ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
12207	NNBBuu3	air	gbísə́ / kə̀gbɪ́sə́nə̄	gbísə́	gb i.⁵/i s ə.⁵/ə		1 7 3 7	AXBZ	KISE	42	42.K.C 42.I.V 42.S.C 42.E.V	2.0 1.5 1.75 0.8	gbi.⁵/isə.⁵/ə	0	1	- gb i.⁵/i s ə.⁵/ə
12208	MNJBuu4	air	gbɪ́sə́ / kə̀gbɪ̂sə̀nə́	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə		1 7 3 7	AXBZ	KISE	28	28.K.C 28.I.V 28.S.C 28.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
12209	KEMBuu1	air	gbɪ́sə́ / kə́gbɪ̂sə̀nə́ ~	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə		1 7 3 7	AXBZ	KISE	20	20.K.C 20.I.V 20.S.C 20.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
12210	KCYBuu2	air	gbɪ́sə́ / kə́gbɪ́sə́	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə		1 7 3 7	AXBZ	KISE	17	17.K.C 17.I.V 17.S.C 17.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
12211	KHKFang12	air	bʲə́ / tə̀bʲə́	bʲə́	b j ə.⁵/ə		1 6 7	ACX	PJE	22	22.P.C 22.J.C 22.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	10	b j ə.⁵/ə
12212	DPNFang13	air	bʲə́ / tə̀bʲə́kə̄	bʲə́	b j ə.⁵/ə		1 6 7	ACX	PJE	10	10.P.C 10.J.C 10.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	10	b j ə.⁵/ə
12213	KDVFang1	air	byé	byé	b j e.⁵/e		1 6 7	ACX	PJE	19	19.P.C 19.J.C 19.E.V	2.0 1.5 1.5	bje.⁵/e	0	10	b j e.⁵/e
12214	KJSFang2	air	byé	byé	b j e.⁵/e		1 6 7	ACX	PJE	23	23.P.C 23.J.C 23.E.V	2.0 1.5 1.5	bje.⁵/e	0	10	b j e.⁵/e
12215	JGYKoshin3	air	gbɪ́ː / ø	gbɪ́ː	gb ɪː.⁵/ɪː		1 7	AX	KI	14	14.K.C 14.I.V	2.0 1.5	gbɪː.⁵/ɪː	0	4	gb ɪː.⁵/ɪː -
12216	TELKoshin4	air	gbɪ́í / ø	gbɪ́í	gb ɪ.⁵/ɪ i.⁵/i		1 7 7	AXZ	KII	46	46.K.C 46.I.V 46.I.V	2.0 1.5 0.8	gbɪ.⁵/ɪi.⁵/i	0	4	gb ɪ.⁵/ɪ i.⁵/i
12217	KCSKung3	air	kə̀fɒ́f / ʊ́fɒ́f	kə̀fɒ́f	k ə.¹/ə f ɒ.⁵/ɒ f		1 7 3 7 3	AXBYN	KEBOB	16	16.K.C 16.E.V 16.B.C 16.O.V 16.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfɒ.⁵/ɒf	0	16	k ə.¹/ə f ɒ.⁵/ɒ f
12218	NJSKung4	air	kə̀fə́f~kə̀fɑf / ʊ̀fɑ́f	kə̀fə́f	k ə.¹/ə f ə.⁵/ə f		1 7 3 7 3	AXBYN	KEBEB	38	38.K.C 38.E.V 38.B.C 38.E.V 38.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfə.⁵/əf	0	16	k ə.¹/ə f ə.⁵/ə f
12219	ZKGKung1	air	ɪ́zʊ́ʔ / sə́zʊ́ʔ	ɪ́zʊ́ʔ	ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ		7 3 7 1	XBYN	ISYH	49	49.I.V 49.S.C 49.Y.V 49.H.c	1.5 1.75 1.3 0.8	ɪ.⁵/ɪzʊ.⁵/ʊʔ	0	7	- ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ
12220	BNMKung2	air	sə́zʊ́ʔ / ø	sə́zʊ́ʔ	s ə.⁵/ə z ʊ.⁵/ʊ ʔ		3 7 3 7 1	AXBYN	SESYH	7	7.S.C 7.E.V 7.S.C 7.Y.V 7.H.c	2.0 1.5 1.75 1.3 0.8	sə.⁵/əzʊ.⁵/ʊʔ	0	7	s ə.⁵/ə z ʊ.⁵/ʊ ʔ
12221	NMNMundabli3	air	gbé / gbé	gbé	gb e.⁵/e		1 7	AX	KE	40	40.K.C 40.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
12222	CENMundabli2	air	gbé / gbé	gbé	gb e.⁵/e		1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
12223	LFNMundabli1	air	gbé / ø	gbé	gb e.⁵/e		1 7	AX	KE	25	25.K.C 25.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
12224	NINMundabli4	air	gbé / gbékɛ́n	gbé	gb e.⁵/e		1 7	AX	KE	37	37.K.C 37.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
12225	NGTMunken3	air	ʊ̀gbáhá /kígbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	36	36.Y.V 36.K.C 36.A.V 36.H.C 36.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
12226	NUNMunken4	air	ʊ́gbáhá / ʊ́gbáhá~kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	43	43.Y.V 43.K.C 43.A.V 43.H.C 43.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12227	NEAMunken1	air	ʊ́gbáhá / ø	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	34	34.Y.V 34.K.C 34.A.V 34.H.C 34.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12228	TNTMunken2	air	ʊ̀gbásə́ / kìgbáːsə́	ʊ̀gbásə́	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə		7 1 7 3 7	XBYBZ	YKASE	47	47.Y.V 47.K.C 47.A.V 47.S.C 47.E.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/asə.⁵/ə	0	1	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə
12229	MCANgun3	air	ʊ̀gbáhá / bìʊ̀gbáhá~àgbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	26	26.Y.V 26.K.C 26.A.V 26.H.C 26.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
12230	KBMNgun4	air	ʊ̀gbáhá / ɪ̀gbáhá~kə́gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	15	15.Y.V 15.K.C 15.A.V 15.H.C 15.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
12231	WCANgun1	air	ʊ́gbáhá / kə́gbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	48	48.Y.V 48.K.C 48.A.V 48.H.C 48.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12232	AOMNgun2	air	gbáhá ~ʊ́gbáhá / ʊgbáhá ~kə̀gbáhá	gbáhá	gb a.⁵/a h a.⁵/a		1 7 3 7	AXBZ	KAHA	3	3.K.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	gba.⁵/aha.⁵/a	0	1	- gb a.⁵/a h a.⁵/a
12233	APBMumfu1	air	gbɛ́ / gbɛ́ːhó	gbɛ́	gb ɛ.⁵/ɛ		1 7	AX	KE	4	4.K.C 4.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	4	gb ɛ.⁵/ɛ -
12234	DNMMumfu2	air	gbɛ́ː  / ø	gbɛ́ː	gb ɛː.⁵/ɛː		1 7	AX	KE	9	9.K.C 9.E.V	2.0 1.5	gbɛː.⁵/ɛː	0	4	gb ɛː.⁵/ɛː -
12235	BKBMashi2	air	dzʊ̄ŋtɪ̄ / ø	dzʊ̄ŋtɪ̄	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ		1 3 7 4 1 7	ACXMBZ	TSYNTI	6	6.T.C 6.S.C 6.Y.V 6.N.c 6.T.C 6.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.³/ʊŋtɪ.³/ɪ	0	6	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ
12236	KFKMashi1	air	dzʊ̄ŋtɪ̄ / dzʊ̂ŋtí	dzʊ̄ŋtɪ̄	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ		1 3 7 4 1 7	ACXMBZ	TSYNTI	21	21.T.C 21.S.C 21.Y.V 21.N.c 21.T.C 21.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.³/ʊŋtɪ.³/ɪ	0	6	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ
12237	ABSMissong1	air	ʊ́gbáhá / ʊ́gháháwʊ̄~ɪ́gbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	1	1.Y.V 1.K.C 1.A.V 1.H.C 1.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12238	AGAMissong2	air	ʊ́gbáhá / ɪ́gháháyī~ʊ́gháháwʊ̄~	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	2	2.Y.V 2.K.C 2.A.V 2.H.C 2.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
15233	NCCMumfu4	air	gbɛ́ / gbɛ́	gbɛ́	gb ɛ.⁵/ɛ		1 7	AX	KE	31	31.K.C 31.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	4	gb ɛ.⁵/ɛ -
15234	MEAMumfu3	air	gbɛ́ / gbɛ́	gbɛ́	gb ɛ.⁵/ɛ		1 7	AX	KE	27	27.K.C 27.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	4	gb ɛ.⁵/ɛ -
15685	NMSMissong4	air	ʊ́gbáhá / ʊ́gbáhá~kɪ́gbáhásə́	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	41	41.Y.V 41.K.C 41.A.V 41.H.C 41.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
15686	NDNMissong5	air	ʊ̀gbáhá / ʊ̀gbáhá~ɪ́gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	33	33.Y.V 33.K.C 33.A.V 33.H.C 33.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
16135	BAAMashi4	air	fìmfí / fìmfíjə̄	fimfí	f i.³/i m f i.⁵/i		3 7 4 3 7	AXMBZ	BIMBI	5	5.B.C 5.I.V 5.M.c 5.B.C 5.I.V	2.0 1.5 1.1 1.75 0.8	fi.³/imfi.⁵/i	0	5	f i.³/i m f i.⁵/i
16136	NCMMashi5	air	dzʊ́ŋtí / dzʊ́ŋtí	dzʊ́ŋtí	d z ʊ.⁵/ʊ ŋ t i.⁵/i		1 3 7 4 1 7	ACXMBZ	TSYNTI	32	32.T.C 32.S.C 32.Y.V 32.N.c 32.T.C 32.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.⁵/ʊŋti.⁵/i	0	6	d z ʊ.⁵/ʊ ŋ t i.⁵/i
9239	NVBAbar7	animal	ɪ̀ʃì / ɪ́ʃîː	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i		7 3 7	XBZ	ISI	44	44.I.V 44.S.C 44.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	26	ɪ.¹/ɪ ʃ - - i.¹/i
9240	ECLAbar8	animal	ɪ̀ʃì / kɪ̄ʃí~ɪ̄ʃí	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i		7 3 7	XBZ	ISI	11	11.I.V 11.S.C 11.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	26	ɪ.¹/ɪ ʃ - - i.¹/i
9241	NMAAbar1	animal	ìʃì / íʃí	ìʃì	i.¹/i ʃ i.¹/i		7 3 7	XBZ	ISI	39	39.I.V 39.S.C 39.I.V	1.5 1.75 0.8	i.¹/iʃi.¹/i	0	26	i.¹/i ʃ - - i.¹/i
9242	NACAbar2	animal	ìʃì / íʃí	ìʃì	i.¹/i ʃ i.¹/i		7 3 7	XBZ	ISI	30	30.I.V 30.S.C 30.I.V	1.5 1.75 0.8	i.¹/iʃi.¹/i	0	26	i.¹/i ʃ - - i.¹/i
9243	NEMAjumbu9	animal	fúò / kə̀fúólə̀~fúó	fúò	f u.¹/u o.¹/o		3 7 7	AXZ	BYU	35	35.B.C 35.Y.V 35.U.V	2.0 1.5 0.8	fu.¹/uo.¹/o	0	21	- f u.¹/u o.¹/o
9244	NVIAjumbu1	animal	fɥò / kə̀fɥòlə̀	fɥò	f ɥ o.¹/o		3 6 7	ACX	BJU	45	45.B.C 45.J.C 45.U.V	2.0 1.5 1.5	fɥo.¹/o	0	35	f ɥ o.¹/o
9245	KMNAjumbu2	animal	fɥò / kə́fɥôːlə̀	fɥò	f ɥ o.¹/o		3 6 7	ACX	BJU	24	24.B.C 24.J.C 24.U.V	2.0 1.5 1.5	fɥo.¹/o	0	35	f ɥ o.¹/o
9246	KDCAjumbu10	animal	fɥò / kə́fɥóːlə̀	fɥò	f ɥ o.¹/o		3 6 7	ACX	BJU	18	18.B.C 18.J.C 18.U.V	2.0 1.5 1.5	fɥo.¹/o	0	35	f ɥ o.¹/o
9247	ENBBiya1	animal	ɪ̀fì / ɪ̀fí	ɪ̀fì	ɪ.¹/ɪ f i.¹/i		7 3 7	XBZ	IBI	12	12.I.V 12.B.C 12.I.V	1.5 1.75 0.8	ɪ.¹/ɪfi.¹/i	0	21	ɪ.¹/ɪ f i.¹/i -
9248	ICNBiya2	animal	ɪ̀fìː / ɪ̀fí~ɪ̀fî	ɪ̀fìː	ɪ.¹/ɪ f iː.¹/iː		7 3 7	XBZ	IBI	13	13.I.V 13.B.C 13.I.V	1.5 1.75 0.8	ɪ.¹/ɪfiː.¹/iː	0	21	ɪ.¹/ɪ f iː.¹/iː -
9249	NNBBuu3	animal	ɲàm / kə́ɲâmtə́	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	42	42.N.C 42.A.V 42.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9250	MNJBuu4	animal	ɲàm / kə́ɲámtə́	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	28	28.N.C 28.A.V 28.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9251	KEMBuu1	animal	ɲàm / ə́ɲâm~kə́yàːmtə̀??	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	20	20.N.C 20.A.V 20.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9252	KCYBuu2	animal	ɲàm / ɲâːm	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	17	17.N.C 17.A.V 17.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9253	KHKFang12	animal	ɲàm / ɲám	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	22	22.N.C 22.A.V 22.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9254	DPNFang13	animal	ɲàm / ɲám	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9255	KDVFang1	animal	ɲàm / ɲám	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	19	19.N.C 19.A.V 19.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9256	KJSFang2	animal	ɲàm / ɲám	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	23	23.N.C 23.A.V 23.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9257	JGYKoshin3	animal	ɲʷàm / ɲʷâm	ɲʷam	ɲʷ a.³/a m		4 7 4	AXN	NAM	14	14.N.C 14.A.V 14.M.c	2.0 1.5 0.8	ɲʷa.³/am	0	22	ɲʷ - a.³/a m
9258	TELKoshin4	animal	ɲʷàm / ɲʷâm	ɲʷam	ɲʷ a.³/a m		4 7 4	AXN	NAM	46	46.N.C 46.A.V 46.M.c	2.0 1.5 0.8	ɲʷa.³/am	0	22	ɲʷ - a.³/a m
9259	MRYKoshin2	animal	ɲɑ̀m /  nzə́ŋə̀	ɲɑm	ɲ ɑ.³/ɑ m		4 7 4	AXN	NAM	29	29.N.C 29.A.V 29.M.c	2.0 1.5 0.8	ɲɑ.³/ɑm	0	22	ɲ - ɑ.³/ɑ m
9260	KCSKung3	animal	ɲàm / sə̀ɲâm	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	16	16.N.C 16.A.V 16.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9261	NJSKung4	animal	ɲàm / sə̀ɲa᷇ːm	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	38	38.N.C 38.A.V 38.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9262	ZKGKung1	animal	ɲàm / sə̀ɲa᷇ːm	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	49	49.N.C 49.A.V 49.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9263	BNMKung2	animal	ɲàm / sə̀ɲa᷇ːm	ɲam	ɲ a.³/a m		4 7 4	AXN	NAM	7	7.N.C 7.A.V 7.M.c	2.0 1.5 0.8	ɲa.³/am	0	22	ɲ - a.³/a m
9264	NMNMundabli3	animal	sò / ɲʲâm	sò	s o.¹/o		3 7	AX	SU	40	40.S.C 40.U.V	2.0 1.5	so.¹/o	0	26	- s o.¹/o - -
9265	CENMundabli2	animal	sòɦ / ɲâm	sòɦ	s o.¹/o ɦ		3 7 3	AXN	SUH	8	8.S.C 8.U.V 8.H.c	2.0 1.5 0.8	so.¹/oɦ	0	26	- s o.¹/o ɦ -
9266	LFNMundabli1	animal	ɲâːm ~ sòː / ɲàmyə́ ~ɲām	ɲâːm	ɲ aː.⁵¹/aː m		4 7 4	AXN	NAM	25	25.N.C 25.A.V 25.M.c	2.0 1.5 0.8	ɲaː.⁵¹/aːm	0	22	ɲ - aː.⁵¹/aː m
9267	NINMundabli4	animal	sɔ̄ / ɲàmyə́	sɔ̄	s ɔ.³/ɔ		3 7	AX	SU	37	37.S.C 37.U.V	2.0 1.5	sɔ.³/ɔ	0	26	- s ɔ.³/ɔ - -
9268	NGTMunken3	animal	ɪ̀ʃìː / kíʃílə́	ɪ̀ʃìː	ɪ.¹/ɪ ʃ iː.¹/iː		7 3 7	XBZ	ISI	36	36.I.V 36.S.C 36.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃiː.¹/iː	0	26	ɪ.¹/ɪ ʃ - - iː.¹/iː
9269	NUNMunken4	animal	ɪ̀ʃì / kɪ́ʃílə̄~ɪ̀ʃí	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i		7 3 7	XBZ	ISI	43	43.I.V 43.S.C 43.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	26	ɪ.¹/ɪ ʃ - - i.¹/i
9270	NEAMunken1	animal	ɪ̀ʃì / ɪ́ʃɪ́	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i		7 3 7	XBZ	ISI	34	34.I.V 34.S.C 34.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	26	ɪ.¹/ɪ ʃ - - i.¹/i
9271	TNTMunken2	animal	ìʃì ~ ɪ̀ʃì / ìʃí  ~ ɪ́ʃɪ́	ìʃì	i.¹/i ʃ i.¹/i		7 3 7	XBZ	ISI	47	47.I.V 47.S.C 47.I.V	1.5 1.75 0.8	i.¹/iʃi.¹/i	0	26	i.¹/i ʃ - - i.¹/i
9272	MCANgun3	animal	ɪ̀fìː / kə̀fí~àfíːlə̀	ɪ̀fìː	ɪ.¹/ɪ f iː.¹/iː		7 3 7	XBZ	IBI	26	26.I.V 26.B.C 26.I.V	1.5 1.75 0.8	ɪ.¹/ɪfiː.¹/iː	0	21	ɪ.¹/ɪ f iː.¹/iː -
9273	KBMNgun4	animal	ɪ̀fì / ɪ̀fí	ɪ̀fì	ɪ.¹/ɪ f i.¹/i		7 3 7	XBZ	IBI	15	15.I.V 15.B.C 15.I.V	1.5 1.75 0.8	ɪ.¹/ɪfi.¹/i	0	21	ɪ.¹/ɪ f i.¹/i -
9274	WCANgun1	animal	ìfìː / ɪ́fí	ìfìː	i.¹/i f iː.¹/iː		7 3 7	XBZ	IBI	48	48.I.V 48.B.C 48.I.V	1.5 1.75 0.8	i.¹/ifiː.¹/iː	0	21	i.¹/i f iː.¹/iː -
9275	AOMNgun2	animal	ɪ̀fì / ɪ̀fí	ɪ̀fì	ɪ.¹/ɪ f i.¹/i		7 3 7	XBZ	IBI	3	3.I.V 3.B.C 3.I.V	1.5 1.75 0.8	ɪ.¹/ɪfi.¹/i	0	21	ɪ.¹/ɪ f i.¹/i -
