ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID	ALIGNMENT
16070	Adam's apple	ENBBiya1	kə̀kwàːfə́ / bìkwàːfə́	k ə.¹/ə k w aː.¹/aː f ə.⁵/ə	1 7 1 6 7 3 7	AXBCYBZ	KEKWABE	12	12.K.C 12.E.V 12.K.C 12.W.C 12.A.V 12.B.C 12.E.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	kə.¹/əkwaː.¹/aːfə.⁵/ə	0	6	5	k ə.¹/ə k w aː.¹/aː f ə.⁵/ə
7739	Basket (male)	MRYKoshin2	kə̀tʃʊ̂ː / ø	k ə.¹/ə tʃ ʊː.⁵¹/ʊː	1 7 1 7	AXBZ	KETY	30	30.K.C 30.E.V 30.T.C 30.Y.V	2.0 1.5 1.75 0.8	kə.¹/ətʃʊː.⁵¹/ʊː	0	18	14	k ə.¹/ə tʃ ʊː.⁵¹/ʊː
7771	Basket (small)	MRYKoshin2	ŋʃɔ̀ŋə́ / ø	ŋ ʃ ɔ.¹/ɔ ŋ ə.⁵/ə	4 3 7 4 7	ACYBZ	NSUNE	30	30.N.C 30.S.C 30.U.V 30.N.C 30.E.V	2.0 1.5 1.3 1.75 0.8	ŋʃɔ.¹/ɔŋə.⁵/ə	0	19	15	ŋ ʃ ɔ.¹/ɔ ŋ ə.⁵/ə
5039	Beans (from Kom)	MRYKoshin2	də̂bə́kȭ /	d ə.⁵¹/ə b ə.⁵/ə k õ.³/õ	1 7 1 7 1 7	AXBYBZ	TEPEKU	30	30.T.C 30.E.V 30.P.C 30.E.V 30.K.C 30.U.V	2.0 1.5 1.75 1.3 1.75 0.8	də.⁵¹/əbə.⁵/əkõ.³/õ	0	20	16	d ə.⁵¹/ə b ə.⁵/ə k õ.³/õ
7387	Calabash-rattle	MRYKoshin2	fə̀ntʃɔ̂ːtʃɔ̂ʔ / ø	f ə.¹/ə n tʃ ɔː.⁵¹/ɔː tʃ ɔ.⁵¹/ɔ ʔ	3 7 4 1 7 1 7 1	AXMBYBYN	BENTUTUH	30	30.B.C 30.E.V 30.N.c 30.T.C 30.U.V 30.T.C 30.U.V 30.H.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	fə.¹/əntʃɔː.⁵¹/ɔːtʃɔ.⁵¹/ɔʔ	0	21	17	f ə.¹/ə n tʃ ɔː.⁵¹/ɔː tʃ ɔ.⁵¹/ɔ ʔ
7414	Canoe, trough	MRYKoshin2	kə̀mgbóŋó / ø	k ə.³/ə m gb o.⁵/o ŋ o.⁵/o	1 7 4 1 7 4 7	AXMBYBZ	KEMKUNU	30	30.K.C 30.E.V 30.M.c 30.K.C 30.U.V 30.N.C 30.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	kə.³/əmgbo.⁵/oŋo.⁵/o	0	22	18	k ə.³/ə m gb o.⁵/o ŋ o.⁵/o
8376	Cap (native black)	MRYKoshin2	fə̀ndɑ́m / ø	f ə.¹/ə n d ɑ.⁵/ɑ m	3 7 4 1 7 4	AXMBYN	BENTAM	30	30.B.C 30.E.V 30.N.c 30.T.C 30.A.V 30.M.c	2.0 1.5 1.1 1.75 1.3 0.8	fə.¹/əndɑ.⁵/ɑm	0	23	19	f ə.¹/ə n d ɑ.⁵/ɑ m
8595	Clay pot (father soup)	MRYKoshin2	fwó / ø	f w o.⁵/o	3 6 7	ACX	BWU	30	30.B.C 30.W.C 30.U.V	2.0 1.5 1.5	fwo.⁵/o	0	24	20	f w o.⁵/o
8594	Clay pot (palace-wine)	MRYKoshin2	ntʃʊ́ŋ / ø	n tʃ ʊ.⁵/ʊ ŋ	4 1 7 4	ACYN	NTYN	30	30.N.C 30.T.C 30.Y.V 30.N.c	2.0 1.5 1.3 0.8	ntʃʊ.⁵/ʊŋ	0	25	21	n tʃ ʊ.⁵/ʊ ŋ
8593	Clay pot (soup, amulet)	MRYKoshin2	mfyɛ̀ː / ø	m f j ɛː.¹/ɛː	4 3 6 7	ACCZ	MBJE	30	30.M.C 30.B.C 30.J.C 30.E.V	2.0 1.5 1.5 0.8	mfjɛː.¹/ɛː	0	26	22	m f j ɛː.¹/ɛː
5590	Cocoyam (igbo)	MRYKoshin2	nə́kɛ̄ːkɛ́ /  bə́ɲʷɛ̀ɲ	n ə.⁵/ə k ɛː.³/ɛː k ɛ.⁵/ɛ	4 7 1 7 1 7	AXBYBZ	NEKEKE	30	30.N.C 30.E.V 30.K.C 30.E.V 30.K.C 30.E.V	2.0 1.5 1.75 1.3 1.75 0.8	nə.⁵/əkɛː.³/ɛːkɛ.⁵/ɛ	0	28	24	n ə.⁵/ə k ɛː.³/ɛː k ɛ.⁵/ɛ
16397	Cocoyam (igbo)	ICNBiya2	kɪ̀mfʊ̌ːɪ́bò / bìmfʊ̌ːɪ́bò	k ɪ.³/ɪ m f ʊː.¹⁵/ʊː ɪ.⁵/ɪ b o.¹/o	1 7 4 3 7 7 1 7	AXMBYYBZ	KIMBYIPU	14	14.K.C 14.I.V 14.M.c 14.B.C 14.Y.V 14.I.V 14.P.C 14.U.V	2.0 1.5 1.1 1.75 1.3 1.3 1.75 0.8	kɪ.³/ɪmfʊː.¹⁵/ʊːɪ.⁵/ɪbo.¹/o	0	27	23	k ɪ.³/ɪ m f ʊː.¹⁵/ʊː ɪ.⁵/ɪ b o.¹/o
4876	Cone (nuts removed)	MRYKoshin2	kə́gya᷇ːkə̀ /  bə̀fó	k ə.⁵/ə g j aː.⁵³/aː k ə.¹/ə	1 7 1 6 7 1 7	AXBCYBZ	KEKJAKE	30	30.K.C 30.E.V 30.K.C 30.J.C 30.A.V 30.K.C 30.E.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	kə.⁵/əgjaː.⁵³/aːkə.¹/ə	0	29	25	k ə.⁵/ə g j aː.⁵³/aː k ə.¹/ə
4875	Cone (palmnut)	MRYKoshin2	tsã̌ː ~ tsàŋá / ø	ts ã.¹⁵/ã	2 7	AX	CA	30	30.C.C 30.A.V	2.0 1.5	tsã.¹⁵/ã	0	30	26	ts ã.¹⁵/ã
5837	Fang annual dance	KDVFang1	kə̀mfə́nə̀ / bə̀mfə́nə̀	k ə.³/ə m f ə.⁵/ə n ə.¹/ə	1 7 4 3 7 4 7	AXMBYBZ	KEMBENE	20	20.K.C 20.E.V 20.M.c 20.B.C 20.E.V 20.N.C 20.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	kə.³/əmfə.⁵/ənə.¹/ə	0	31	27	k ə.³/ə m f ə.⁵/ə n ə.¹/ə
5838	Fang annual dance	KJSFang2	kə̀mfə́nə̀ / bə̀mfə́nə̀	k ə.³/ə m f ə.⁵/ə n ə.¹/ə	1 7 4 3 7 4 7	AXMBYBZ	KEMBENE	24	24.K.C 24.E.V 24.M.c 24.B.C 24.E.V 24.N.C 24.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	kə.³/əmfə.⁵/ənə.¹/ə	1	31	27	k ə.³/ə m f ə.⁵/ə n ə.¹/ə
2972	Flat swelling (filaria)	MRYKoshin2	kə̀mkpyã́ /  bə́lû	k ə.³/ə m kp j ã.⁵/ã	1 7 4 1 6 7	AXMBCZ	KEMKJA	30	30.K.C 30.E.V 30.M.c 30.K.C 30.J.C 30.A.V	2.0 1.5 1.1 1.75 1.5 0.8	kə.³/əmkpjã.⁵/ã	0	32	28	k ə.³/ə m kp j ã.⁵/ã
12428	Furrow (between ridges)	MRYKoshin2	běː / ø	b eː.¹⁵/eː	1 7	AX	PE	30	30.P.C 30.E.V	2.0 1.5	beː.¹⁵/eː	0	33	29	b eː.¹⁵/eː
14665	I	NVBAbar7	N (ḿ, ŋ̀, ń, ǹ), mo / mo[3]	n	4	A	N	48	48.N.C	2.0	n	0	35	31	n
14666	I	ECLAbar8	N (m, ŋ, n), mə̀~mə́ / mô~mò	n	4	A	N	11	11.N.C	2.0	n	0	35	31	n
14667	I	NEMAjumbu9	Ǹ, mə́ / mə̄	N.¹/n	4	A	N	36	36.N.C	2.0	N.¹/n	0	35	31	N.¹/n
14668	I	KDCAjumbu10	Ǹ~mə́ / mə̀~mə́	N.¹/n	4	A	N	19	19.N.C	2.0	N.¹/n	0	35	31	N.¹/n
14669	I	NNBBuu3	m̀ / mɪ́	m.¹/m	4	A	M	45	45.M.C	2.0	m.¹/m	0	34	30	m.¹/m -
14670	I	MNJBuu4	ǹ / mɪ̄	n.¹/n	4	A	N	29	29.N.C	2.0	n.¹/n	0	35	31	n.¹/n
14671	I	KHKFang12	mə́, mì, mʲə́, mʲə̄, mə̌ /mʲə̀	m ə.⁵/ə	4 7	AX	ME	23	23.M.C 23.E.V	2.0 1.5	mə.⁵/ə	0	34	30	m ə.⁵/ə
14672	I	DPNFang13	mə́, mʲə́~mʲə̄ / mʲə́	m ə.⁵/ə	4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	mə.⁵/ə	0	34	30	m ə.⁵/ə
14673	I	JGYKoshin3	mə̀ / mə̄	m ə.¹/ə	4 7	AX	ME	15	15.M.C 15.E.V	2.0 1.5	mə.¹/ə	1	34	30	m ə.¹/ə
14674	I	TELKoshin4	N ~ mə́ / mə́	n	4	A	N	50	50.N.C	2.0	n	0	35	31	n
14675	I	KCSKung3	m̀, mʲə̌ / mɛ̂ɲ	m.¹/m	4	A	M	17	17.M.C	2.0	m.¹/m	0	34	30	m.¹/m -
14676	I	NJSKung4	m̀ / mə́ɪ́	m.¹/m	4	A	M	41	41.M.C	2.0	m.¹/m	0	34	30	m.¹/m -
14677	I	NMNMundabli3	N̂ / mə́	n.⁵¹/n	4	A	N	43	43.N.C	2.0	n.⁵¹/n	0	35	31	n.⁵¹/n
14678	I	CENMundabli2	Ń ~ Ǹ / mə́	Ń/n	4	A	N	8	8.N.C	2.0	Ń/n	0	35	31	Ń/n
14679	I	NGTMunken3	Ń~Ǹ~mə̀ / mə̄nə̄	Ń/n	4	A	N	38	38.N.C	2.0	Ń/n	0	35	31	Ń/n
14680	I	NUNMunken4	Ǹ~mə̂ / mə̀nə́ ~mí	N.¹/n	4	A	N	47	47.N.C	2.0	N.¹/n	0	35	31	N.¹/n
14681	I	MCANgun3	Ǹ~Ń~mə̀ / mō~mó~mò	N.¹/n	4	A	N	27	27.N.C	2.0	N.¹/n	0	35	31	N.¹/n
14682	I	KBMNgun4	Ǹ~Ń~mə̀~mə́ / mò~mə̂	N.¹/n	4	A	N	16	16.N.C	2.0	N.¹/n	0	35	31	N.¹/n
15221	I	NCCMumfu4	N / mə́	n	4	A	N	32	32.N.C	2.0	n	0	35	31	n
15222	I	MEAMumfu3	N  / mə̄	n	4	A	N	28	28.N.C	2.0	n	0	35	31	n
15671	I	NMSMissong4	N ~ mə̀   / mə̂	n	4	A	N	44	44.N.C	2.0	n	0	35	31	n
15672	I	NDNMissong5	N, mə̂ ~ mə̀ / mə̀	n	4	A	N	34	34.N.C	2.0	n	0	35	31	n
16053	I	BAAMashi4	ma  / mɪ	m a.³/a	4 7	AX	MA	5	5.M.C 5.A.V	2.0 1.5	ma.³/a	0	34	30	m a.³/a
16054	I	NCMMashi5	m ~ ma / mí	m	4	A	M	33	33.M.C	2.0	m	0	34	30	m -
18326	I	NSFBiya5	N (ḿ, ŋ̀, ń, ǹ), mə̀~mə́ / mə́	n	4	A	N	46	46.N.C	2.0	n	0	35	31	n
18327	I	NJNBiya6	N (m̀, ŋ, n), mə̀~mə́ / mə̄	n	4	A	N	40	40.N.C	2.0	n	0	35	31	n
9740	Lizard (smallest)	MRYKoshin2	fə̀ntyã̀ã̂ /  bə̀fúá	f ə.¹/ə n t j ã.¹/ã ã.⁵¹/ã	3 7 4 1 6 7 7	AXMBCYZ	BENTJAA	30	30.B.C 30.E.V 30.N.c 30.T.C 30.J.C 30.A.V 30.A.V	2.0 1.5 1.1 1.75 1.5 1.3 0.8	fə.¹/əntjã.¹/ãã.⁵¹/ã	0	36	32	f ə.¹/ə n t j ã.¹/ã ã.⁵¹/ã
4877	Palm frond rope	MRYKoshin2	ndzyálə̄ /  bə̀sɔ́ŋ	n d z j a.⁵/a l ə.³/ə	4 1 3 6 7 5 7	ACCCYBZ	NTSJALE	30	30.N.C 30.T.C 30.S.C 30.J.C 30.A.V 30.L.C 30.E.V	2.0 1.5 1.5 1.5 1.3 1.75 0.8	ndzja.⁵/alə.³/ə	0	37	33	n d z j a.⁵/a l ə.³/ə
4880	Palmnut (ripe, uncracked)	MRYKoshin2	tsàŋáyìbɪ̌ / ø	ts a.¹/a ŋ a.⁵/a j i.¹/i b ɪ.¹⁵/ɪ	2 7 4 7 6 7 1 7	AXBYBYBZ	CANAJIPI	30	30.C.C 30.A.V 30.N.C 30.A.V 30.J.C 30.I.V 30.P.C 30.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tsa.¹/aŋa.⁵/aji.¹/ibɪ.¹⁵/ɪ	0	38	34	ts a.¹/a ŋ a.⁵/a j i.¹/i b ɪ.¹⁵/ɪ
8185	Pipe (wine tapping)	MRYKoshin2	yʲə̃̂ / ø	j j ə̃.⁵¹/ə̃	6 6 7	ACZ	JJE	30	30.J.C 30.J.C 30.E.V	2.0 1.5 0.8	jjə̃.⁵¹/ə̃	0	39	35	j j ə̃.⁵¹/ə̃
10179	Senegalese kucal (time bird)	NMAAbar1	ʊ́dʊ́dyʊ̀ŋ / gbwɪ̀dúdyʊ̀ŋ	ʊ.⁵/ʊ d ʊ.⁵/ʊ d j ʊ.¹/ʊ ŋ	7 1 7 1 6 7 4	XBYBCYN	YTYTJYN	42	42.Y.V 42.T.C 42.Y.V 42.T.C 42.J.C 42.Y.V 42.N.c	1.5 1.75 1.3 1.75 1.5 1.3 0.8	ʊ.⁵/ʊdʊ.⁵/ʊdjʊ.¹/ʊŋ	0	53	44	ʊ.⁵/ʊ d ʊ.⁵/ʊ - d j ʊ.¹/ʊ ŋ
10180	Senegalese kucal (time bird)	KMNAjumbu2	kə̀yàːkûːkùː / bə̀yàːkûːkùː	k ə.¹/ə j aː.¹/aː k uː.⁵¹/uː k uː.¹/uː	1 7 6 7 1 7 1 7	AXBYBYBZ	KEJAKYKY	25	25.K.C 25.E.V 25.J.C 25.A.V 25.K.C 25.Y.V 25.K.C 25.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kə.¹/əjaː.¹/aːkuː.⁵¹/uːkuː.¹/uː	0	42	42	k ə.¹/ə j aː.¹/aː k uː.⁵¹/uː k uː.¹/uː
10181	Senegalese kucal (time bird)	KEMBuu1	kə̀tîtî / bə̀tîtî	k ə.¹/ə t i.⁵¹/i t i.⁵¹/i	1 7 1 7 1 7	AXBYBZ	KETITI	21	21.K.C 21.E.V 21.T.C 21.I.V 21.T.C 21.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kə.¹/əti.⁵¹/iti.⁵¹/i	0	45	40	k ə.¹/ə - - - t i.⁵¹/i t i.⁵¹/i
10182	Senegalese kucal (time bird)	ZKGKung1	ndzə̀ŋ / sə̀ndzə̀ŋ	n d z ə.¹/ə ŋ	4 1 3 7 4	ACCYN	NTSEN	53	53.N.C 53.T.C 53.S.C 53.E.V 53.N.c	2.0 1.5 1.5 1.3 0.8	ndzə.¹/əŋ	1	43	39	- - n d z ə.¹/ə ŋ
10183	Senegalese kucal (time bird)	BNMKung2	fə̀ndzə̀ŋ / sə̀ndzə̀ŋ	f ə.¹/ə n d z ə.¹/ə ŋ	3 7 4 1 3 7 4	AXMBCYN	BENTSEN	7	7.B.C 7.E.V 7.N.c 7.T.C 7.S.C 7.E.V 7.N.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	fə.¹/əndzə.¹/əŋ	1	43	39	f ə.¹/ə n d z ə.¹/ə ŋ
10184	Senegalese kucal (time bird)	LFNMundabli1	tsùèn / tsùènbó	ts u.¹/u e.¹/e n	2 7 7 4	AXYN	CYEN	26	26.C.C 26.Y.V 26.E.V 26.N.c	2.0 1.5 1.3 0.8	tsu.¹/ue.¹/en	0	40	36	ts u.¹/u - e.¹/e n
10185	Senegalese kucal (time bird)	NINMundabli4	lə̀ / lə̀bó	l ə.¹/ə	5 7	AX	LE	39	39.L.C 39.E.V	2.0 1.5	lə.¹/ə	0	52	43	l ə.¹/ə
10186	Senegalese kucal (time bird)	NEAMunken1	ɪ̀kwə̀hə̀ / ø	ɪ.¹/ɪ k w ə.¹/ə h ə.¹/ə	7 1 6 7 3 7	XBCYBZ	IKWEHE	35	35.I.V 35.K.C 35.W.C 35.E.V 35.H.C 35.E.V	1.5 1.75 1.5 1.3 1.75 0.8	ɪ.¹/ɪkwə.¹/əhə.¹/ə	0	46	41	ɪ.¹/ɪ k w ə.¹/ə h ə.¹/ə
10187	Senegalese kucal (time bird)	TNTMunken2	ʊ̀dʊ́ndʊ̂n / bɪ̀ʊ̀dʊ́ndʊ̂~bèʊ̀dʊ́ndʊ̂n	ʊ.¹/ʊ d ʊ.⁵/ʊ n d ʊ.¹⁵/ʊ n	7 1 7 4 1 7 4	XBYMBYN	YTYNTYN	51	51.Y.V 51.T.C 51.Y.V 51.N.c 51.T.C 51.Y.V 51.N.c	1.5 1.75 1.3 1.1 1.75 1.3 0.8	ʊ.¹/ʊdʊ.⁵/ʊndʊ.¹⁵/ʊn	0	53	44	ʊ.¹/ʊ d ʊ.⁵/ʊ n d - ʊ.¹⁵/ʊ n
10188	Senegalese kucal (time bird)	WCANgun1	fíɲa᷇ːbìtʃàːblə̀ / mɲa᷇ːbìtʃàlə̀	f i.⁵/i ɲ aː.⁵³/aː b i.¹/i tʃ aː.¹/aː b l ə.¹/ə	3 7 4 7 1 7 1 7 1 5 7	AXBYBYBYBCZ	BINAPITAPLE	52	52.B.C 52.I.V 52.N.C 52.A.V 52.P.C 52.I.V 52.T.C 52.A.V 52.P.C 52.L.C 52.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.5 0.8	fi.⁵/iɲaː.⁵³/aːbi.¹/itʃaː.¹/aːblə.¹/ə	0	55	45	f i.⁵/i ɲ aː.⁵³/aː b i.¹/i tʃ aː.¹/aː b l ə.¹/ə
10189	Senegalese kucal (time bird)	APBMumfu1	ɠʲʊ́ŋƙɥóƙɥó / ɠʲʊ́ŋƙɥǒkɥòbə̌	ɠ j ʊ.⁵/ʊ ŋ q ɥ o.⁵/o q ɥ o.⁵/o	1 6 7 4 1 6 7 1 6 7	ACXMBCYBCZ	KJYNKJUKJU	4	4.K.C 4.J.C 4.Y.V 4.N.c 4.K.C 4.J.C 4.U.V 4.K.C 4.J.C 4.U.V	2.0 1.5 1.5 1.1 1.75 1.5 1.3 1.75 1.5 0.8	ɠjʊ.⁵/ʊŋqɥo.⁵/oqɥo.⁵/o	0	42	38	ɠ j ʊ.⁵/ʊ ŋ q ɥ o.⁵/o q ɥ o.⁵/o
10190	Senegalese kucal (time bird)	DNMMumfu2	ndʒɔ̀ṃ / ndʒɔ̂ṃbə̌	n dʒ ɔ.³/ɔ m	4 1 7 4	ACYN	NTUM	9	9.N.C 9.T.C 9.U.V 9.M.c	2.0 1.5 1.3 0.8	ndʒɔ.³/ɔm	0	44	40	- - - - n dʒ ɔ.³/ɔ m -
10191	Senegalese kucal (time bird)	ABSMissong1	kìtsə̌n / bìtsə̌n	k i.¹/i ts ə.¹⁵/ə n	1 7 2 7 4	AXBYN	KICEN	1	1.K.C 1.I.V 1.C.C 1.E.V 1.N.c	2.0 1.5 1.75 1.3 0.8	ki.¹/itsə.¹⁵/ən	0	40	36	k i.¹/i ts ə.¹⁵/ə n
10192	Senegalese kucal (time bird)	AGAMissong2	kpɪ́ŋkpɪ́ŋ / bàkpɪ́ŋkpɪ́ŋ	kp ɪ.⁵/ɪ ŋ kp ɪ.⁵/ɪ ŋ	1 7 4 1 7 4	AXMBYN	KINKIN	2	2.K.C 2.I.V 2.N.c 2.K.C 2.I.V 2.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kpɪ.⁵/ɪŋkpɪ.⁵/ɪŋ	0	40	37	kp ɪ.⁵/ɪ ŋ kp ɪ.⁵/ɪ ŋ
