	a11londo	a121mbonge	a122bakundu	a141lefo	a151nkongho	a15ambuu	a15bmiengenwmanenguba	a15cakossi	a15celungcentralmanenguba	a15cmkaa	a15manenguba	a22bakweri	a24duala	a27malimba	a31bubi	a32cbatanga	a33ayasa	a34benga	a41barombikang	a42abo	a43abasaa	a44tunen	a45nyokon	a462yambeta	a46nomaande	a51bafiamaja	a53bafiarikpa	a54tibea	a601tuki	a61ngoroasom	a61ngorobisoo	a61ngorolunda	a621nubaca	a622nugunu	a62anuasue	a62anukalonge	a62bmmala	a62clibie	a63mangisa	a71eton	a72aewondo	a74abulu	a75afangbitam	a75afangmedouneu	a75afangminvoul	a803shiwa	a81kwasio	a832bekol	a83mekaa	a841badwe	a84njem	a85bbekwilmakokou	a85bbekwilmv	a86cmpiemo	a87bomwali	a91kwakum	a93kako	aghemgrassfields	b11ampongwe	b11borungu	b11cgalwa	b11ddyumba	b11fenenga	b201ndasa	b202sigu	b203samaye	b204ndambomoli	b204ndambomomassoukou	b204ndambomombadi	b21seki	b22akele	b22bkoya	b22bngom	b22emwesa	b23mbangwe	b24wumbvu	b251shake	b252mahongwe	b25kota	b301viya	b302himba	b304pinzi	b305vove	b31tsogo	b32kande	b404ngubi	b41shira	b42sangumb	b42sangumi	b43punu	b44lumbu	b501wanzie	b501wanzimo	b503vili	b51duma	b51dumala	b52nzebi	b53tsaangipoungi	b601lempini	b602kaninginord	b602kaningisud	b62mbaama	b63ndumu	b701atsitsege	b71aibtekeibalicongo	b71aletekeleconi	b71atekedj	b71atekeos	b77bfumu	b78wuumu	b81tiene	b82buma	b84mbunda	b85dnsongo	b85emput	b85yanzi	b861ngul	b862lwel	b863pindi	b864ngong	b865nzadi	b86dinga	b86dzing	bamungrassfields	bilejarawan	bwazzajarawan	c101baboledz	c101baboleep	c101babolema	c104aka	c105mbenga	c141bonyala	c142mondongo	c15bongili	c21ngare	c22akwa	c24koyo	c25abunji	c25bolee	c25condinga	c25eeboyi	c25mboshi	c302bolondo	c322zamba	c323mpama	c32bobangi	c34sakata	c36dlingala	c36gmonyongo	c36gmosange	c37ebudza	c401babati1919	c401pakabete	c412libobi	c41ngombe	c42ebwela	c43abaati	c44bwa	c52soko	c52soko1919	c54turumba1919	c55lokele	c61ekonda	c61mongo	c71tetela	c76ombo	c81dengese	c83bushong	c85wongo	d11mbole	d12lengola	d13metoko	d14enya	d201liko	d20bvamba1919	d211kango	d21baali	d23kibirakumu1919	d24songola	d25lega	d28holoholo	d304homa1919	d305nyangali	d308bodo2	d308ebodo	d311bila	d313mbuttu1919	d32bira	d32birabunia	d331bvanuma	d333ndaaka	d334mbo	d33nyali	d43nyanga	d55buyu	dugurijarawan	e46sonjo	e51kikuyu	e52embu	e52mbeere	e531muthambi	e531mwimbi	e53igoji	e53imenti	e53meru	e53meruimenti	e53merutig	e53miutini	e53tigania	e541chuka	e54tharaka	e55kamba	e55kambakitu	e55kambamach	e56daiso	e621bmachame	e621csiha	e621dkibosho	e622akimochi	e622clema	e622cmamba	e622cvunjo	e623akiseri	e623dkeni	e623mkuu	e64kahe	e65gweno	e701elwana	e71aupperpokomo	e72agiryama	e73digo	e74adawida	e74atuveta	f12bende	f21ntuzu	f21sukuma	f22nyamwezi	f23sumbwa	f24kimbu	f25bungu	f31nyiramba	f32nyaturucha	f32nyaturuwil	f33langi	fefegrassfields	g11gogo	g12kagulu	g22anorthpare	g22asu	g22bsouthpare	g23sambaa	g24bondei	g31zigua	g32doe	g32kwere	g33zaramo	g34nguungulu	g35luguru	g36kami	g37kutu	g39saghala	g401mwani	g412mwiini	g41bajuni	g42aamu	g42dunguja	g42swahili	g43kae	g44angazija	g44bndzwani	g44dmaore	g51pogoro	g52ndamba	g61sangu	g62hehe	g63bena	g64pangwa	g65kinga	g66wanji	h111hangala	h11beembe	h12civilicongo	h131kisundicongokimongo1988	h13kikunyi1989	h16akisikongo2013	h16akisolongodrc2012	h16bkindibu2013	h16cilinji	h16cimbala	h16cizobe	h16ckiyombedrc1982	h16cyombe	h16dciwoyodrc2012	h16flaadi	h16gkimpangu2012	h16gntandu	h16hkinkanu2012	h16kikongo	h16kimbatangidinga	h16kimbeko	h21akimbundu	h31yaka	h321soonde	h32suku	h41mbala	h42hunganna	jd53shi	jd62rundi	jd64shubi	jd65hangaza	jd66kiha	jd67kivinza	je11runyoro	je12rutooro	je13runyankore	je14rukiga	je15luganda	je16lusoga	je17gwere	je21runyambo	je22haya	je23zinza	je24kerebe	je25jita	je25kilegi	je25mkwaya	je31cbukusu	je31lumasaaba	je32luyia	je34samialugwe	je401ngoreme	je402ikizu	je403suba	je404shasi	je41maragoli	je42gusii	je43kuria	je43kuriamago	je43kuriatari	je44zanaki	je45nata	k11ciokwe	k14lwena	k15mbunda	k21lozi	k31luyana	k332rumanyo	k33kwangali	komgrassfields	kulungjarawan	l11pende	l12bholu	l13kwese	l221lwalwa	l23songe	l31alubakasai	l32kanyok	l33lubashaba	l34hemba	l35sanga	l41kaonde	l51salampasu	l52lunda	l53runda	l62nkoya	m11pimbwe	m12lungwa	m13fipa	m14rungu	m15mambwe	m21ndali	m21wanda	m22namwanga	m23nyiha	m24malila	m25safwa	m28lambya	m31nyakyusa	m41taabwa	m42bemba	m52lala	m54lamba	m61lenje	m62soli	m64tonga	mbulajarawan	moghamograssfields	mungakagrassfields	n11manda	n12ngoni	n13matengo	n14mpoto	n21tumbukamalawi	n31chewa	n42kunda	njengrassfields	okugrassfields	p11ndengeleko	p12rufiji	p13matumbi	p14ngindo	p15mbunga	p21yao	p22mwera	p23simakonde	p25mabia	p31emakhua	p31gikorovere	r11umbundu	r21kwanyama	r22ndonga	r31herero	s11shona	s16kalanga	s21venda	s311shekgalagari	s31tswana	s41xhosa	s42zulu	s44ndebele	s51tshwa	s53tsonga	tivtivoid	zaambojarawan
dz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	7	0	10	10	11	6	5	0	0	0	0	0	0	0	3	0	5	6	0	0	0	1	0	9	1	0	0	0	0	1	0	0	0	0	6	0	2	0	0	4	3	3	5	6	3	1	0	1	2	0	0	0	3	1	0	3	3	2	1	4	0	0	7	0	10	4	0	2	9	0	10	0	12	13	1	0	14	12	11	6	14	3	7	0	0	0	6	9	8	0	0	12	0	8	10	11	1	9	10	10	9	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	1	0	0	1	0	0	6	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	6	0	0	0	0	0	6	4	3	0
dʒ	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	9	6	13	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	2	3	3	3	2	2	0	0	6	11	9	9	2	0	0	0	0	2	13	8	13	12	0	0	0	0	0	0	0	0	0	0	5	0	0	2	1	0	0	3	6	9	6	9	6	4	10	0	4	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	1	0	0	0	0	0	0	0	0	0	0	7	5	2	1	0	2	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0
dʒʲ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
dʲ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d̪	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0
e	22	31	31	19	9	20	13	23	19	14	30	22	33	33	47	32	40	29	21	20	18	11	2	8	20	20	12	18	47	22	12	15	6	19	14	11	9	8	9	23	56	51	21	26	16	7	1	15	8	66	68	0	0	9	43	13	15	5	18	19	14	12	24	3	22	23	17	17	15	6	20	14	21	11	10	0	9	27	19	57	30	30	25	50	30	4	13	15	8	9	16	10	7	1	10	6	7	25	13	25	8	28	9	6	16	15	11	17	12	9	5	6	13	13	9	30	6	0	17	5	30	22	20	5	14	13	42	28	38	31	26	36	32	43	24	38	28	34	37	33	31	36	45	30	47	17	6	25	33	28	17	46	62	32	34	38	1	5	45	48	49	28	19	24	19	17	16	18	27	31	21	17	24	0	28	12	6	35	21	1	5	12	0	38	20	22	26	40	7	10	27	26	8	13	19	2	38	21	40	32	30	30	34	22	14	14	11	29	0	21	14	35	52	56	22	20	25	18	17	19	22	25	27	14	19	21	29	19	17	14	16	11	21	20	9	11	15	12	22	11	14	16	18	13	0	29	20	20	25	19	17	18	15	22	18	17	17	27	22	20	21	12	15	22	18	18	19	18	16	15	21	9	10	17	20	19	20	20	19	14	5	19	22	21	13	13	9	24	21	22	47	51	17	14	7	11	11	12	11	9	17	17	18	11	10	5	23	13	15	12	17	14	43	30	49	43	22	37	22	34	40	39	35	19	18	18	36	18	13	50	48	42	38	37	16	53	31	29	25	43	32	21	22	14	14	20	15	35	3	12	11	19	21	22	34	21	15	14	28	21	11	11	16	17	24	12	19	11	14	12	13	17	16	16	13	26	18	11	18	12	13	12	10	20	15	14	9	6	21	21	12	13	9	22	14	17	26	15	22	16	26	8	18	18	16	20	16	20	40	41	32	39	15	14	12	49	5	14	15	13	18	17	6	16
eˀ	0	0	0	2	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eː	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	4	4	4	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f	4	2	0	6	5	2	0	0	0	0	4	3	0	0	0	0	0	0	21	13	0	5	5	3	4	14	12	4	0	4	0	6	10	5	3	5	7	0	0	0	2	3	3	4	4	4	4	5	4	1	0	0	0	0	0	6	0	11	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	3	0	1	1	0	1	1	0	0	1	5	3	3	3	2	3	2	3	1	2	0	1	1	1	4	6	1	5	4	3	4	3	4	5	8	6	5	3	2	6	1	2	3	2	3	3	3	1	7	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	6	2	1	5	0	0	0	2	0	5	0	1	8	1	0	6	0	10	7	7	9	0	0	7	0	1	8	0	0	0	2	3	0	0	0	0	0	0	1	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	14	9	7	6	5	6	8	10	9	5	7	4	4	3	3	4	3	5	0	0	2	3	0	2	0	5	4	2	5	4	7	3	4	3	4	3	2	1	2	3	2	2	2	3	2	3	3	4	4	3	3	4	5	4	5	3	5	5	5	6	5	0	6	2	3	3	3	3	4	4	3	3	4	2	3	4	2	2	2	5	1	3	2	3	4	2	2	5	2	4	3	2	1	2	1	2	2	2	2	1	3	2	2	2	2	2	2	4	4	4	9	7	0	5	0	0	0	0	0	0	0	0	0	0	0	7	4	1	9	4	1	4	17	0	4	6	1	2	13	5	6	4	4	7	4	5	6	3	2	3	4	5	5	3	9	4	4	2	3	5	2	6	5	7	7	8	7	7	4	0	15	9	6	2	0	0	4	4	4	3	16	1	1	0	0	3	0	0	0	0	0	0	2	6	3	0	6	4	11	0	10	4	3	2	5	8	1	0
fʲ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
