ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID	ALIGNMENT
11966	air	KBMNgun4	ʊ̀gbáhá / ɪ̀gbáhá~kə́gbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	16	16.Y.V 16.6.T 16.K.C 16.A.V 16.6.T 16.H.C 16.A.V 16.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1	ʊ ¹ gb a ⁵ h a ⁵
11967	air	WCANgun1	ʊ́gbáhá / kə́gbáhá	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	52	52.Y.V 52.6.T 52.K.C 52.A.V 52.6.T 52.H.C 52.A.V 52.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
11968	air	AOMNgun2	gbáhá ~ʊ́gbáhá / ʊgbáhá ~kə̀gbáhá	gb a ⁵ h a ⁵	1 7 8 3 7 8	AXTBYT	KA6HA6	3	3.K.C 3.A.V 3.6.T 3.H.C 3.A.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0	gba⁵ha⁵	0	1	1	- - gb a ⁵ h a ⁵
11969	air	APBMumfu1	gbɛ́ / gbɛ́ːhó	gb ɛ ⁵	1 7 8	AXT	KE6	4	4.K.C 4.E.V 4.6.T	1.6 3.0 1.0	gbɛ⁵	0	4	2	gb ɛ ⁵ - -
11970	air	DNMMumfu2	gbɛ́ː  / ø	gb ɛː ⁵	1 7 8	AXT	KE6	9	9.K.C 9.E.V 9.6.T	1.6 3.0 1.0	gbɛː⁵	0	4	2	gb ɛː ⁵ - -
11971	air	BKBMashi2	dzʊ̄ŋtɪ̄ / ø	d z ʊ ³ ŋ t ɪ ³	1 3 7 8 4 1 7 8	ACXTMBYT	TSY6NTI6	6	6.T.C 6.S.C 6.Y.V 6.6.T 6.N.c 6.T.C 6.I.V 6.6.T	1.6 1.2 3.0 1.0 1.1 1.3 3.0 1.0	dzʊ³ŋtɪ³	0	6	4	d z ʊ ³ ŋ t ɪ ³
11972	air	KFKMashi1	dzʊ̄ŋtɪ̄ / dzʊ̂ŋtí	d z ʊ ³ ŋ t ɪ ³	1 3 7 8 4 1 7 8	ACXTMBYT	TSY6NTI6	22	22.T.C 22.S.C 22.Y.V 22.6.T 22.N.c 22.T.C 22.I.V 22.6.T	1.6 1.2 3.0 1.0 1.1 1.3 3.0 1.0	dzʊ³ŋtɪ³	0	6	4	d z ʊ ³ ŋ t ɪ ³
11973	air	ABSMissong1	ʊ́gbáhá / ʊ́gháháwʊ̄~ɪ́gbáhá	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	1	1.Y.V 1.6.T 1.K.C 1.A.V 1.6.T 1.H.C 1.A.V 1.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
11974	air	AGAMissong2	ʊ́gbáhá / ɪ́gháháyī~ʊ́gháháwʊ̄~	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	2	2.Y.V 2.6.T 2.K.C 2.A.V 2.6.T 2.H.C 2.A.V 2.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
14781	air	NCCMumfu4	gbɛ́ / gbɛ́	gb ɛ ⁵	1 7 8	AXT	KE6	32	32.K.C 32.E.V 32.6.T	1.6 3.0 1.0	gbɛ⁵	0	4	2	gb ɛ ⁵ - -
14782	air	MEAMumfu3	gbɛ́ / gbɛ́	gb ɛ ⁵	1 7 8	AXT	KE6	28	28.K.C 28.E.V 28.6.T	1.6 3.0 1.0	gbɛ⁵	0	4	2	gb ɛ ⁵ - -
15233	air	NMSMissong4	ʊ́gbáhá / ʊ́gbáhá~kɪ́gbáhásə́	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	44	44.Y.V 44.6.T 44.K.C 44.A.V 44.6.T 44.H.C 44.A.V 44.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
15234	air	NDNMissong5	ʊ̀gbáhá / ʊ̀gbáhá~ɪ́gbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	34	34.Y.V 34.6.T 34.K.C 34.A.V 34.6.T 34.H.C 34.A.V 34.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1	ʊ ¹ gb a ⁵ h a ⁵
15683	air	BAAMashi4	fìmfí / fìmfíjə̄	f i ³ m f i ⁵	3 7 8 4 3 7 8	AXTMBYT	BI6MBI6	5	5.B.C 5.I.V 5.6.T 5.M.c 5.B.C 5.I.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fi³mfi⁵	0	5	3	f i ³ m f i ⁵
15684	air	NCMMashi5	dzʊ́ŋtí / dzʊ́ŋtí	d z ʊ ⁵ ŋ t i ⁵	1 3 7 8 4 1 7 8	ACXTMBYT	TSY6NTI6	33	33.T.C 33.S.C 33.Y.V 33.6.T 33.N.c 33.T.C 33.I.V 33.6.T	1.6 1.2 3.0 1.0 1.1 1.3 3.0 1.0	dzʊ⁵ŋti⁵	0	6	4	d z ʊ ⁵ ŋ t i ⁵
16075	air	NFKBiya7	ʊ́gbáhá ~ ʊ́gbásə́ / ø	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	37	37.Y.V 37.6.T 37.K.C 37.A.V 37.6.T 37.H.C 37.A.V 37.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
16076	air	FBCBiya8	ʊ́gbáhá~ʊ́gbásə́ / ʊ́gbáhá~kə́gbáhá ~kə́gbáːsə́	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	13	13.Y.V 13.6.T 13.K.C 13.A.V 13.6.T 13.H.C 13.A.V 13.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
16077	air	ENBBiya1	ʊ́gbáhá  ~ìdzʊ / ɪ́gbáhá́~ ádzʊ́	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	12	12.Y.V 12.6.T 12.K.C 12.A.V 12.6.T 12.H.C 12.A.V 12.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1	ʊ ⁵ gb a ⁵ h a ⁵
17886	air	NSFBiya5	ʊ̀gbáhá / ʊ̀gbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	46	46.Y.V 46.6.T 46.K.C 46.A.V 46.6.T 46.H.C 46.A.V 46.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1	ʊ ¹ gb a ⁵ h a ⁵
17887	air	NJNBiya6	ʊ̀gbáhá / ʊ̀gbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	40	40.Y.V 40.6.T 40.K.C 40.A.V 40.6.T 40.H.C 40.A.V 40.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1	ʊ ¹ gb a ⁵ h a ⁵
9049	animal	NVBAbar7	ɪ̀ʃì / ɪ́ʃîː	ɪ ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	48	48.I.V 48.6.T 48.S.C 48.I.V 48.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹ʃi¹	0	19	9	ɪ ¹ ʃ i ¹ - - - -
9050	animal	ECLAbar8	ɪ̀ʃì / kɪ̄ʃí~ɪ̄ʃí	ɪ ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	11	11.I.V 11.6.T 11.S.C 11.I.V 11.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹ʃi¹	0	19	9	ɪ ¹ ʃ i ¹ - - - -
9051	animal	NMAAbar1	ìʃì / íʃí	i ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	42	42.I.V 42.6.T 42.S.C 42.I.V 42.6.T	3.0 1.0 1.3 3.0 1.0	i¹ʃi¹	0	19	9	i ¹ ʃ i ¹ - - - -
9052	animal	NACAbar2	ìʃì / íʃí	i ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	31	31.I.V 31.6.T 31.S.C 31.I.V 31.6.T	3.0 1.0 1.3 3.0 1.0	i¹ʃi¹	0	19	9	i ¹ ʃ i ¹ - - - -
9053	animal	NEMAjumbu9	fúò / kə̀fúólə̀~fúó	f u ¹ o ¹	3 7 8 7 8	AXTYT	BY6U6	36	36.B.C 36.Y.V 36.6.T 36.U.V 36.6.T	1.6 3.0 1.0 3.0 1.0	fu¹o¹	0	36	14	f u ¹ o ¹
9054	animal	NVIAjumbu1	fɥò / kə̀fɥòlə̀	f ɥ o ¹	3 6 7 8	ACXT	BJU6	49	49.B.C 49.J.C 49.U.V 49.6.T	1.6 1.2 3.0 1.0	fɥo¹	0	36	13	f ɥ o ¹
9055	animal	KMNAjumbu2	fɥò / kə́fɥôːlə̀	f ɥ o ¹	3 6 7 8	ACXT	BJU6	25	25.B.C 25.J.C 25.U.V 25.6.T	1.6 1.2 3.0 1.0	fɥo¹	0	36	13	f ɥ o ¹
9056	animal	KDCAjumbu10	fɥò / kə́fɥóːlə̀	f ɥ o ¹	3 6 7 8	ACXT	BJU6	19	19.B.C 19.J.C 19.U.V 19.6.T	1.6 1.2 3.0 1.0	fɥo¹	0	36	13	f ɥ o ¹
9057	animal	NNBBuu3	ɲàm / kə́ɲâmtə́	ɲ a ³ m	4 7 8 4	AXTN	NA6M	45	45.N.C 45.A.V 45.6.T 45.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9058	animal	MNJBuu4	ɲàm / kə́ɲámtə́	ɲ a ³ m	4 7 8 4	AXTN	NA6M	29	29.N.C 29.A.V 29.6.T 29.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9059	animal	KEMBuu1	ɲàm / ə́ɲâm~kə́yàːmtə̀??	ɲ a ³ m	4 7 8 4	AXTN	NA6M	21	21.N.C 21.A.V 21.6.T 21.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9060	animal	KCYBuu2	ɲàm / ɲâːm	ɲ a ³ m	4 7 8 4	AXTN	NA6M	18	18.N.C 18.A.V 18.6.T 18.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9061	animal	KHKFang12	ɲàm / ɲám	ɲ a ³ m	4 7 8 4	AXTN	NA6M	23	23.N.C 23.A.V 23.6.T 23.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9062	animal	DPNFang13	ɲàm / ɲám	ɲ a ³ m	4 7 8 4	AXTN	NA6M	10	10.N.C 10.A.V 10.6.T 10.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9063	animal	KDVFang1	ɲàm / ɲám	ɲ a ³ m	4 7 8 4	AXTN	NA6M	20	20.N.C 20.A.V 20.6.T 20.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9064	animal	KJSFang2	ɲàm / ɲám	ɲ a ³ m	4 7 8 4	AXTN	NA6M	24	24.N.C 24.A.V 24.6.T 24.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9065	animal	JGYKoshin3	ɲʷàm / ɲʷâm	ɲʷ a ³ m	4 7 8 4	AXTN	NA6M	15	15.N.C 15.A.V 15.6.T 15.M.c	1.6 3.0 1.0 0.5	ɲʷa³m	0	22	10	ɲʷ - a ³ m
9066	animal	TELKoshin4	ɲʷàm / ɲʷâm	ɲʷ a ³ m	4 7 8 4	AXTN	NA6M	50	50.N.C 50.A.V 50.6.T 50.M.c	1.6 3.0 1.0 0.5	ɲʷa³m	0	22	10	ɲʷ - a ³ m
9067	animal	MRYKoshin2	ɲɑ̀m /  nzə́ŋə̀	ɲ ɑ ³ m	4 7 8 4	AXTN	NA6M	30	30.N.C 30.A.V 30.6.T 30.M.c	1.6 3.0 1.0 0.5	ɲɑ³m	0	22	10	ɲ - ɑ ³ m
9068	animal	KCSKung3	ɲàm / sə̀ɲâm	ɲ a ³ m	4 7 8 4	AXTN	NA6M	17	17.N.C 17.A.V 17.6.T 17.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9069	animal	NJSKung4	ɲàm / sə̀ɲa᷇ːm	ɲ a ³ m	4 7 8 4	AXTN	NA6M	41	41.N.C 41.A.V 41.6.T 41.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9070	animal	ZKGKung1	ɲàm / sə̀ɲa᷇ːm	ɲ a ³ m	4 7 8 4	AXTN	NA6M	53	53.N.C 53.A.V 53.6.T 53.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9071	animal	BNMKung2	ɲàm / sə̀ɲa᷇ːm	ɲ a ³ m	4 7 8 4	AXTN	NA6M	7	7.N.C 7.A.V 7.6.T 7.M.c	1.6 3.0 1.0 0.5	ɲa³m	0	22	10	ɲ - a ³ m
9072	animal	NMNMundabli3	sò / ɲʲâm	s o ¹	3 7 8	AXT	SU6	43	43.S.C 43.U.V 43.6.T	1.6 3.0 1.0	so¹	0	26	11	s o ¹ -
9073	animal	CENMundabli2	sòɦ / ɲâm	s o ¹ ɦ	3 7 8 3	AXTN	SU6H	8	8.S.C 8.U.V 8.6.T 8.H.c	1.6 3.0 1.0 0.5	so¹ɦ	0	26	11	s o ¹ ɦ
9074	animal	LFNMundabli1	ɲâːm ~ sòː / ɲàmyə́ ~ɲām	ɲ aː ⁵¹ m	4 7 8 4	AXTN	NA3M	26	26.N.C 26.A.V 26.3.T 26.M.c	1.6 3.0 1.0 0.5	ɲaː⁵¹m	0	22	10	ɲ - aː ⁵¹ m
9075	animal	NINMundabli4	sɔ̄ / ɲàmyə́	s ɔ ³	3 7 8	AXT	SU6	39	39.S.C 39.U.V 39.6.T	1.6 3.0 1.0	sɔ³	0	26	11	s ɔ ³ -
9076	animal	NGTMunken3	ɪ̀ʃìː / kíʃílə́	ɪ ¹ ʃ iː ¹	7 8 3 7 8	XTBYT	I6SI6	38	38.I.V 38.6.T 38.S.C 38.I.V 38.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹ʃiː¹	0	19	9	ɪ ¹ ʃ iː ¹ - - - -
9077	animal	NUNMunken4	ɪ̀ʃì / kɪ́ʃílə̄~ɪ̀ʃí	ɪ ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	47	47.I.V 47.6.T 47.S.C 47.I.V 47.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹ʃi¹	0	19	9	ɪ ¹ ʃ i ¹ - - - -
9078	animal	NEAMunken1	ɪ̀ʃì / ɪ́ʃɪ́	ɪ ¹ ʃ i ¹	7 8 3 7 8	XTBYT	I6SI6	35	35.I.V 35.6.T 35.S.C 35.I.V 35.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹ʃi¹	0	19	9	ɪ ¹ ʃ i ¹ - - - -
