# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
2584	animal	A91_Kwakum	bùpà	b u p a	1 7 1 7	AXBZ	PYPA	26	26.P.C 26.Y.V 26.P.C 26.A.V	2.0 1.5 1.75 0.8	bupa	0	26	4
2682	animal	B11a_Mpongwe	ɲaw̃a	ɲ a w a	4 7 6 7	AXBZ	NAWA	27	27.N.C 27.A.V 27.W.C 27.A.V	2.0 1.5 1.75 0.8	ɲawa	0	1	1
2782	animal	B11b_Orungu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	28	28.N.C 28.A.V 28.M.C 28.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
2879	animal	B11c_Galwa	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	29	29.N.C 29.A.V 29.M.C 29.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
2979	animal	B11d_Dyumba	ɲàːmà	ɲ aː m a	4 7 4 7	AXBZ	NAMA	30	30.N.C 30.A.V 30.M.C 30.A.V	2.0 1.5 1.75 0.8	ɲaːma	0	1	1
3078	animal	B11F_Enenga	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	31	31.N.C 31.A.V 31.M.C 31.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
3178	animal	B31_Tsogo	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	43	43.N.C 43.A.V 43.M.C 43.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
3278	animal	B32_Kande	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	44	44.E.V 44.N.C 44.A.V 44.M.C 44.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
3377	animal	B301_Viya	ɣebo	ɣ e b o	3 7 1 7	AXBZ	GEPU	39	39.G.C 39.E.V 39.P.C 39.U.V	2.0 1.5 1.75 0.8	ɣebo	0	26	6
3477	animal	B302_Himba	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	40	40.E.V 40.N.C 40.A.V 40.M.C 40.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
3577	animal	B304_Pinzi	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	41	41.E.V 41.N.C 41.A.V 41.M.C 41.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
3677	animal	B305_Vove	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	42	42.N.C 42.A.V 42.M.C 42.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
3777	animal	B21_Seki	sí:ŋì	s iː ŋ i	3 7 4 7	AXBZ	SINI	34	34.S.C 34.I.V 34.N.C 34.I.V	2.0 1.5 1.75 0.8	siːŋi	0	34	5
3876	animal	B22a_Kele	tʃitʃi	tʃ i tʃ i	1 7 1 7	AXBZ	TITI	35	35.T.C 35.I.V 35.T.C 35.I.V	2.0 1.5 1.75 0.8	tʃitʃi	0	15	2
3974	animal	B24_Wumbvu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	36	36.N.C 36.A.V 36.M.C 36.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4074	animal	B25_Kota	sito	s i t o	3 7 1 7	AXBZ	SITU	38	38.S.C 38.I.V 38.T.C 38.U.V	2.0 1.5 1.75 0.8	sito	0	15	2
4174	animal	B251_Shake	tʃitʃi	tʃ i tʃ i	1 7 1 7	AXBZ	TITI	37	37.T.C 37.I.V 37.T.C 37.I.V	2.0 1.5 1.75 0.8	tʃitʃi	0	15	2
4274	animal	B201_Ndasa	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	32	32.N.C 32.A.V 32.M.C 32.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4374	animal	B204_Ndambomo_Li	tʃiitʃi	tʃ i i tʃ i	1 7 7 1 7	AXYBZ	TIITI	33	33.T.C 33.I.V 33.I.V 33.T.C 33.I.V	2.0 1.5 1.3 1.75 0.8	tʃiitʃi	0	15	2
4472	animal	C104_Aka	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	61	61.N.C 61.A.V 61.M.C 61.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4572	animal	C141_Bonyala	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	62	62.N.C 62.A.V 62.M.C 62.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4672	animal	C21_Ngare	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	63	63.N.C 63.A.V 63.M.C 63.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4772	animal	C22_Akwa	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	64	64.N.C 64.A.V 64.M.C 64.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4872	animal	C24_Koyo	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	65	65.N.C 65.A.V 65.M.C 65.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
4972	animal	C25A_Bunji	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	66	66.N.C 66.A.V 66.M.C 66.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
5072	animal	C25B_Olee	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	67	67.N.C 67.A.V 67.M.C 67.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
5172	animal	C25C_Ondinga	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	68	68.N.C 68.A.V 68.M.C 68.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
5271	animal	C25E_Eboyi	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	69	69.N.C 69.A.V 69.M.C 69.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
5371	animal	C32_Bobangi	ʊ́bwʊ́lʊ́	ʊ b w ʊ l ʊ	7 1 6 7 5 7	XBCYBZ	YPWYLY	70	70.Y.V 70.P.C 70.W.C 70.Y.V 70.L.C 70.Y.V	1.5 1.75 1.5 1.3 1.75 0.8	ʊbwʊlʊ	0	70	8
5470	animal	C61_Mongo	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	71	71.N.C 71.A.V 71.M.C 71.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
5570	animal	D32_Bira	nyama	n j a m a	4 6 7 4 7	ACXBZ	NJAMA	72	72.N.C 72.J.C 72.A.V 72.M.C 72.A.V	2.0 1.5 1.5 1.75 0.8	njama	0	1	1
5670	animal	B42_Sangu_Mi	ɲamə	ɲ a m ə	4 7 4 7	AXBZ	NAME	45	45.N.C 45.A.V 45.M.C 45.E.V	2.0 1.5 1.75 0.8	ɲamə	0	1	1
5769	animal	B43_Punu	ɲamə	ɲ a m ə	4 7 4 7	AXBZ	NAME	46	46.N.C 46.A.V 46.M.C 46.E.V	2.0 1.5 1.75 0.8	ɲamə	0	1	1
5867	animal	B44_Lumbu	mbitsi	m b i ts i	4 1 7 2 7	ACYBZ	MPICI	47	47.M.C 47.P.C 47.I.V 47.C.C 47.I.V	2.0 1.5 1.3 1.75 0.8	mbitsi	0	47	7
5965	animal	B51_Duma_La	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	49	49.N.C 49.A.V 49.M.C 49.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6065	animal	B52_Nzebi	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	50	50.N.C 50.A.V 50.M.C 50.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6164	animal	B53_Tsaangi_Poungi	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	51	51.N.C 51.A.V 51.M.C 51.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6264	animal	B501_Wanzi_Mo	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	48	48.N.C 48.A.V 48.M.C 48.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6364	animal	B62_Mbaama	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	55	55.N.C 55.A.V 55.M.C 55.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6464	animal	B63_Ndumu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	56	56.N.C 56.A.V 56.M.C 56.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6564	animal	B601_Lempini	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	52	52.N.C 52.A.V 52.M.C 52.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6662	animal	B602_Kaningi_Nord	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	53	53.N.C 53.A.V 53.M.C 53.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6762	animal	B602_Kaningi_Sud	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	54	54.N.C 54.A.V 54.M.C 54.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6862	animal	B71a_Teke_Os	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	59	59.N.C 59.A.V 59.M.C 59.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
6962	animal	B71a_Teke_Dj	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	58	58.N.C 58.A.V 58.M.C 58.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
7062	animal	B701_Atsitsege	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	57	57.N.C 57.A.V 57.M.C 57.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
7162	animal	B865_Nzadi	ntsúr	n ts u r	4 2 7 5	ACYN	NCYR	60	60.N.C 60.C.C 60.Y.V 60.R.c	2.0 1.5 1.3 0.8	ntsur	0	12	1
7261	animal	H11_Beembe	kìbúlù	k i b u l u	1 7 1 7 5 7	AXBYBZ	KIPYLY	131	131.K.C 131.I.V 131.P.C 131.Y.V 131.L.C 131.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kibulu	0	70	6
7359	animal	H16_Kikongo	mbisi	m b i s i	4 1 7 3 7	ACYBZ	MPISI	132	132.M.C 132.P.C 132.I.V 132.S.C 132.I.V	2.0 1.5 1.3 1.75 0.8	mbisi	0	47	7
7458	animal	H31_Yaka	mbísi	m b i s i	4 1 7 3 7	ACYBZ	MPISI	133	133.M.C 133.P.C 133.I.V 133.S.C 133.I.V	2.0 1.5 1.3 1.75 0.8	mbisi	0	47	7
7558	animal	L11_Pende	sabà	s a b a	3 7 1 7	AXBZ	SAPA	165	165.S.C 165.A.V 165.P.C 165.A.V	2.0 1.5 1.75 0.8	saba	0	26	1
7657	animal	L31a_Luba-Kasai	mú-ɲiɲé	m u ɲ i ɲ e	4 7 4 7 4 7	AXBYBZ	MYNINE	166	166.M.C 166.Y.V 166.N.C 166.I.V 166.N.C 166.E.V	2.0 1.5 1.75 1.3 1.75 0.8	muɲiɲe	0	166	11
7755	animal	JD62_Rundi	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	134	134.I.V 134.N.C 134.A.V 134.M.C 134.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
7855	animal	JD64_Shubi	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	135	135.I.V 135.N.C 135.A.V 135.M.C 135.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
7955	animal	JD65_Hangaza	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	136	136.I.V 136.N.C 136.A.V 136.M.C 136.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
8055	animal	JD66_Kiha	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	137	137.I.V 137.N.C 137.A.V 137.M.C 137.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
8155	animal	JD67_Kivinza	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	138	138.I.V 138.N.C 138.A.V 138.M.C 138.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
8255	animal	JE11_Runyoro	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	139	139.E.V 139.N.C 139.A.V 139.M.C 139.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
8355	animal	JE12_Rutooro	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	140	140.N.C 140.A.V 140.M.C 140.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
8455	animal	JE13_Runyankore	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	141	141.E.V 141.N.C 141.A.V 141.M.C 141.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
8555	animal	JE14_Rukiga	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	142	142.E.V 142.N.C 142.A.V 142.M.C 142.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
8654	animal	JE16_Lusoga	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	143	143.E.V 143.N.C 143.A.V 143.M.C 143.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
8754	animal	JE17_Gwere	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	144	144.N.C 144.A.V 144.M.C 144.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
8854	animal	JE21_Runyambo	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	145	145.E.V 145.N.C 145.A.V 145.M.C 145.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
8954	animal	JE22_Haya	eɲamaiʃwa	e ɲ a m a i ʃ w a	7 4 7 4 7 7 3 6 7	XBYBYYBCZ	ENAMAISWA	146	146.E.V 146.N.C 146.A.V 146.M.C 146.A.V 146.I.V 146.S.C 146.W.C 146.A.V	1.5 1.75 1.3 1.75 1.3 1.3 1.75 1.5 0.8	eɲamaiʃwa	0	1	1
9054	animal	JE23_Zinza	eɲamaiswa	e ɲ a m a i s w a	7 4 7 4 7 7 3 6 7	XBYBYYBCZ	ENAMAISWA	147	147.E.V 147.N.C 147.A.V 147.M.C 147.A.V 147.I.V 147.S.C 147.W.C 147.A.V	1.5 1.75 1.3 1.75 1.3 1.3 1.75 1.5 0.8	eɲamaiswa	0	1	1
9153	animal	JE24_Kerebe	enamenswa	e n a m e n s w a	7 4 7 4 7 4 3 6 7	XBYBYMBCZ	ENAMENSWA	148	148.E.V 148.N.C 148.A.V 148.M.C 148.E.V 148.N.c 148.S.C 148.W.C 148.A.V	1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.5 0.8	enamenswa	0	1	1
9252	animal	JE25_Jita	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	149	149.I.V 149.N.C 149.A.V 149.M.C 149.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
9350	animal	JE25_Kilegi	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	150	150.I.V 150.N.C 150.A.V 150.M.C 150.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
9450	animal	JE25_Mkwaya	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	151	151.N.C 151.A.V 151.M.C 151.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
9550	animal	JE31_Lumasaaba	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	152	152.I.V 152.N.C 152.A.V 152.M.C 152.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
9650	animal	JE32_Luyia	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	153	153.I.V 153.N.C 153.A.V 153.M.C 153.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
9750	animal	JE34_Samialugwe	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	154	154.I.V 154.N.C 154.A.V 154.M.C 154.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
9850	animal	JE401_Ngoreme	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	155	155.E.V 155.N.C 155.A.V 155.M.C 155.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
9950	animal	JE403_Suba	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	157	157.I.V 157.N.C 157.A.V 157.M.C 157.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
10050	animal	JE41_Maragoli	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	159	159.I.V 159.N.C 159.A.V 159.M.C 159.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
10150	animal	JE42_Gusii	éɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	160	160.E.V 160.N.C 160.A.V 160.M.C 160.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
10250	animal	JE43_Kuria	iiɲáma	i i ɲ a m a	7 7 4 7 4 7	XYBYBZ	IINAMA	161	161.I.V 161.I.V 161.N.C 161.A.V 161.M.C 161.A.V	1.5 1.3 1.75 1.3 1.75 0.8	iiɲama	0	1	1
10348	animal	JE43_Kuria_Mago	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	162	162.I.V 162.N.C 162.A.V 162.M.C 162.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
10448	animal	JE43_Kuria_Tari	iɲama	i ɲ a m a	7 4 7 4 7	XBYBZ	INAMA	163	163.I.V 163.N.C 163.A.V 163.M.C 163.A.V	1.5 1.75 1.3 1.75 0.8	iɲama	0	1	1
10548	animal	JE404_Shasi	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	158	158.E.V 158.N.C 158.A.V 158.M.C 158.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
10648	animal	JE402_Ikizu	eɲama	e ɲ a m a	7 4 7 4 7	XBYBZ	ENAMA	156	156.E.V 156.N.C 156.A.V 156.M.C 156.A.V	1.5 1.75 1.3 1.75 0.8	eɲama	0	1	1
10748	animal	JE45_Nata	aɲama	a ɲ a m a	7 4 7 4 7	XBYBZ	ANAMA	164	164.A.V 164.N.C 164.A.V 164.M.C 164.A.V	1.5 1.75 1.3 1.75 0.8	aɲama	0	1	1
10846	animal	E46_Sonjo	ɲamà	ɲ a m a	4 7 4 7	AXBZ	NAMA	73	73.N.C 73.A.V 73.M.C 73.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
10946	animal	E51_Kikuyu	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	74	74.N.C 74.A.V 74.M.C 74.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11046	animal	E52_Embu	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	75	75.N.C 75.A.V 75.M.C 75.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11146	animal	E53_Meru	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	77	77.N.C 77.A.V 77.M.C 77.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11245	animal	E53_Imenti	ɲàmà	ɲ a m a	4 7 4 7	AXBZ	NAMA	76	76.N.C 76.A.V 76.M.C 76.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11343	animal	E53_Tigania	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	80	80.N.C 80.A.V 80.M.C 80.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11442	animal	E53_Meruimenti	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	78	78.N.C 78.A.V 78.M.C 78.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11540	animal	E53_Merutig	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	79	79.N.C 79.A.V 79.M.C 79.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11640	animal	E54_Tharaka	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	82	82.N.C 82.A.V 82.M.C 82.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11738	animal	E541_Chuka	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	81	81.N.C 81.A.V 81.M.C 81.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11837	animal	E55_Kamba	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	83	83.N.C 83.A.V 83.M.C 83.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
11936	animal	E55_Kamba_Kitu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	84	84.N.C 84.A.V 84.M.C 84.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
12035	animal	E621B_Machame	nɲama	n ɲ a m a	4 4 7 4 7	ACYBZ	NNAMA	85	85.N.C 85.N.C 85.A.V 85.M.C 85.A.V	2.0 1.5 1.3 1.75 0.8	nɲama	0	1	1
12134	animal	E621C_Siha	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	86	86.N.C 86.A.V 86.M.C 86.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
12234	animal	E621D_Kibosho	nɲama	n ɲ a m a	4 4 7 4 7	ACYBZ	NNAMA	87	87.N.C 87.N.C 87.A.V 87.M.C 87.A.V	2.0 1.5 1.3 1.75 0.8	nɲama	0	1	1
12334	animal	E622C_Vunjo	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	88	88.N.C 88.A.V 88.M.C 88.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
12434	animal	E623A_Kiseri	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	90	90.N.C 90.A.V 90.M.C 90.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
12533	animal	E623_Mkuu	ɲama	ɲ a m a	4 7 4 7	AXBZ	NAMA	89	89.N.C 89.A.V 89.M.C 89.A.V	2.0 1.5 1.75 0.8	ɲama	0	1	1
12632	animal	E65_Gweno	mɲama	m ɲ a m a	4 4 7 4 7	ACYBZ	MNAMA	91	91.M.C 91.N.C 91.A.V 91.M.C 91.A.V	2.0 1.5 1.3 1.75 0.8	mɲama	0	1	1
12732	animal	E701_Elwana	izaaga	i z a a g a	7 3 7 7 1 7	XBYYBZ	ISAAKA	92	92.I.V 92.S.C 92.A.V 92.A.V 92.K.C 92.A.V	1.5 1.75 1.3 1.3 1.75 0.8	izaaga	0	92	1
