ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
4175	40_air	air	TELKoshin4	TEL-Koshin-4	gbɪ́í / ø	gbɪ́í	gb ɪ.⁵/ɪ i.⁵/i	kosh1246		6.5817	10.299		1 7 7	AXZ	KII	46	46.K.C 46.I.V 46.I.V	2.0 1.5 0.8	gbɪ.⁵/ɪi.⁵/i	0	6	gb ɪ.⁵/ɪ i.⁵/i
4176	40_air	air	KCSKung3	KCS-Kung-3	kə̀fɒ́f / ʊ́fɒ́f	kə̀fɒ́f	k ə.¹/ə f ɒ.⁵/ɒ f	kung1260		6.53881	10.2073		1 7 3 7 3	AXBYN	KEBOB	16	16.K.C 16.E.V 16.B.C 16.O.V 16.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfɒ.⁵/ɒf	0	18	k ə.¹/ə f ɒ.⁵/ɒ f
4177	40_air	air	NJSKung4	NJS-Kung-4	kə̀fə́f~kə̀fɑf / ʊ̀fɑ́f	kə̀fə́f	k ə.¹/ə f ə.⁵/ə f	kung1260		6.53881	10.2073		1 7 3 7 3	AXBYN	KEBEB	38	38.K.C 38.E.V 38.B.C 38.E.V 38.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfə.⁵/əf	0	18	k ə.¹/ə f ə.⁵/ə f
4178	40_air	air	ZKGKung1	ZKG-Kung-1	ɪ́zʊ́ʔ / sə́zʊ́ʔ	ɪ́zʊ́ʔ	ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ	kung1260		6.53881	10.2073		7 3 7 1	XBYN	ISYH	49	49.I.V 49.S.C 49.Y.V 49.H.c	1.5 1.75 1.3 0.8	ɪ.⁵/ɪzʊ.⁵/ʊʔ	0	9	- ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ
4179	40_air	air	BNMKung2	BNM-Kung-2	sə́zʊ́ʔ / ø	sə́zʊ́ʔ	s ə.⁵/ə z ʊ.⁵/ʊ ʔ	kung1260		6.53881	10.2073		3 7 3 7 1	AXBYN	SESYH	7	7.S.C 7.E.V 7.S.C 7.Y.V 7.H.c	2.0 1.5 1.75 1.3 0.8	sə.⁵/əzʊ.⁵/ʊʔ	0	9	s ə.⁵/ə z ʊ.⁵/ʊ ʔ
4180	40_air	air	NMNMundabli3	NMN-Mundabli-3	gbé / gbé	gbé	gb e.⁵/e	mund1340					1 7	AX	KE	40	40.K.C 40.E.V	2.0 1.5	gbe.⁵/e	0	6	gb e.⁵/e -
4181	40_air	air	CENMundabli2	CEN-Mundabli-2	gbé / gbé	gbé	gb e.⁵/e	mund1340					1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	gbe.⁵/e	0	6	gb e.⁵/e -
4182	40_air	air	LFNMundabli1	LFN-Mundabli-1	gbé / ø	gbé	gb e.⁵/e	mund1340					1 7	AX	KE	25	25.K.C 25.E.V	2.0 1.5	gbe.⁵/e	0	6	gb e.⁵/e -
4183	40_air	air	NINMundabli4	NIN-Mundabli-4	gbé / gbékɛ́n	gbé	gb e.⁵/e	mund1340					1 7	AX	KE	37	37.K.C 37.E.V	2.0 1.5	gbe.⁵/e	0	6	gb e.⁵/e -
4184	40_air	air	NGTMunken3	NGT-Munken-3	ʊ̀gbáhá /kígbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	munk1244					7 1 7 3 7	XBYBZ	YKAHA	36	36.Y.V 36.K.C 36.A.V 36.H.C 36.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4185	40_air	air	NUNMunken4	NUN-Munken-4	ʊ́gbáhá / ʊ́gbáhá~kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	munk1244					7 1 7 3 7	XBYBZ	YKAHA	43	43.Y.V 43.K.C 43.A.V 43.H.C 43.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4186	40_air	air	NEAMunken1	NEA-Munken-1	ʊ́gbáhá / ø	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	munk1244					7 1 7 3 7	XBYBZ	YKAHA	34	34.Y.V 34.K.C 34.A.V 34.H.C 34.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4187	40_air	air	TNTMunken2	TNT-Munken-2	ʊ̀gbásə́ / kìgbáːsə́	ʊ̀gbásə́	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə	munk1244					7 1 7 3 7	XBYBZ	YKASE	47	47.Y.V 47.K.C 47.A.V 47.S.C 47.E.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/asə.⁵/ə	0	3	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə
4188	40_air	air	MCANgun3	MCA-Ngun-3	ʊ̀gbáhá / bìʊ̀gbáhá~àgbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	ngun1279					7 1 7 3 7	XBYBZ	YKAHA	26	26.Y.V 26.K.C 26.A.V 26.H.C 26.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4189	40_air	air	KBMNgun4	KBM-Ngun-4	ʊ̀gbáhá / ɪ̀gbáhá~kə́gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	ngun1279					7 1 7 3 7	XBYBZ	YKAHA	15	15.Y.V 15.K.C 15.A.V 15.H.C 15.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4190	40_air	air	WCANgun1	WCA-Ngun-1	ʊ́gbáhá / kə́gbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	ngun1279					7 1 7 3 7	XBYBZ	YKAHA	48	48.Y.V 48.K.C 48.A.V 48.H.C 48.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4191	40_air	air	AOMNgun2	AOM-Ngun-2	gbáhá ~ʊ́gbáhá / ʊgbáhá ~kə̀gbáhá	gbáhá	gb a.⁵/a h a.⁵/a	ngun1279					1 7 3 7	AXBZ	KAHA	3	3.K.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	gba.⁵/aha.⁵/a	0	3	- gb a.⁵/a h a.⁵/a
4192	40_air	air	APBMumfu1	APB-Mumfu-1	gbɛ́ / gbɛ́ːhó	gbɛ́	gb ɛ.⁵/ɛ	mufu1234					1 7	AX	KE	4	4.K.C 4.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	6	gb ɛ.⁵/ɛ -
4193	40_air	air	DNMMumfu2	DNM-Mumfu-2	gbɛ́ː  / ø	gbɛ́ː	gb ɛː.⁵/ɛː	mufu1234					1 7	AX	KE	9	9.K.C 9.E.V	2.0 1.5	gbɛː.⁵/ɛː	0	6	gb ɛː.⁵/ɛː -
4194	40_air	air	BKBMashi2	BKB-Mashi-2	dzʊ̄ŋtɪ̄ / ø	dzʊ̄ŋtɪ̄	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ	naki1238		6.62784	10.2378		1 3 7 4 1 7	ACXMBZ	TSYNTI	6	6.T.C 6.S.C 6.Y.V 6.N.c 6.T.C 6.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.³/ʊŋtɪ.³/ɪ	0	8	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ
4195	40_air	air	KFKMashi1	KFK-Mashi-1	dzʊ̄ŋtɪ̄ / dzʊ̂ŋtí	dzʊ̄ŋtɪ̄	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ	naki1238		6.62784	10.2378		1 3 7 4 1 7	ACXMBZ	TSYNTI	21	21.T.C 21.S.C 21.Y.V 21.N.c 21.T.C 21.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.³/ʊŋtɪ.³/ɪ	0	8	d z ʊ.³/ʊ ŋ t ɪ.³/ɪ
4196	40_air	air	ABSMissong1	ABS-Missong-1	ʊ́gbáhá / ʊ́gháháwʊ̄~ɪ́gbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	miss1255					7 1 7 3 7	XBYBZ	YKAHA	1	1.Y.V 1.K.C 1.A.V 1.H.C 1.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4197	40_air	air	AGAMissong2	AGA-Missong-2	ʊ́gbáhá / ɪ́gháháyī~ʊ́gháháwʊ̄~	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	miss1255					7 1 7 3 7	XBYBZ	YKAHA	2	2.Y.V 2.K.C 2.A.V 2.H.C 2.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
5099	40_air	air	NCCMumfu4	NCC-Mumfu-4	gbɛ́ / gbɛ́	gbɛ́	gb ɛ.⁵/ɛ	mufu1234					1 7	AX	KE	31	31.K.C 31.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	6	gb ɛ.⁵/ɛ -
5100	40_air	air	MEAMumfu3	MEA-Mumfu-3	gbɛ́ / gbɛ́	gbɛ́	gb ɛ.⁵/ɛ	mufu1234					1 7	AX	KE	27	27.K.C 27.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	6	gb ɛ.⁵/ɛ -
5375	40_air	air	NMSMissong4	NMS-Missong-4	ʊ́gbáhá / ʊ́gbáhá~kɪ́gbáhásə́	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	miss1255					7 1 7 3 7	XBYBZ	YKAHA	41	41.Y.V 41.K.C 41.A.V 41.H.C 41.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
5376	40_air	air	NDNMissong5	NDN-Missong-5	ʊ̀gbáhá / ʊ̀gbáhá~ɪ́gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	miss1255					7 1 7 3 7	XBYBZ	YKAHA	33	33.Y.V 33.K.C 33.A.V 33.H.C 33.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
5651	40_air	air	BAAMashi4	BAA-Mashi-4	fìmfí / fìmfíjə̄	fimfí	f i.³/i m f i.⁵/i	naki1238		6.62784	10.2378		3 7 4 3 7	AXMBZ	BIMBI	5	5.B.C 5.I.V 5.M.c 5.B.C 5.I.V	2.0 1.5 1.1 1.75 0.8	fi.³/imfi.⁵/i	0	7	f i.³/i m f i.⁵/i
5652	40_air	air	NCMMashi5	NCM-Mashi-5	dzʊ́ŋtí / dzʊ́ŋtí	dzʊ́ŋtí	d z ʊ.⁵/ʊ ŋ t i.⁵/i	naki1238		6.62784	10.2378		1 3 7 4 1 7	ACXMBZ	TSYNTI	32	32.T.C 32.S.C 32.Y.V 32.N.c 32.T.C 32.I.V	2.0 1.5 1.5 1.1 1.75 0.8	dzʊ.⁵/ʊŋti.⁵/i	0	8	d z ʊ.⁵/ʊ ŋ t i.⁵/i
3194	50_animal	animal	NVBAbar7	NVB-Abar-7	ɪ̀ʃì / ɪ́ʃîː	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i	abar1239					7 3 7	XBZ	ISI	44	44.I.V 44.S.C 44.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	28	ɪ.¹/ɪ ʃ - - i.¹/i
3195	50_animal	animal	ECLAbar8	ECL-Abar-8	ɪ̀ʃì / kɪ̄ʃí~ɪ̄ʃí	ɪ̀ʃì	ɪ.¹/ɪ ʃ i.¹/i	abar1239					7 3 7	XBZ	ISI	11	11.I.V 11.S.C 11.I.V	1.5 1.75 0.8	ɪ.¹/ɪʃi.¹/i	0	28	ɪ.¹/ɪ ʃ - - i.¹/i
3196	50_animal	animal	NMAAbar1	NMA-Abar-1	ìʃì / íʃí	ìʃì	i.¹/i ʃ i.¹/i	abar1239					7 3 7	XBZ	ISI	39	39.I.V 39.S.C 39.I.V	1.5 1.75 0.8	i.¹/iʃi.¹/i	0	28	i.¹/i ʃ - - i.¹/i
3197	50_animal	animal	NACAbar2	NAC-Abar-2	ìʃì / íʃí	ìʃì	i.¹/i ʃ i.¹/i	abar1239					7 3 7	XBZ	ISI	30	30.I.V 30.S.C 30.I.V	1.5 1.75 0.8	i.¹/iʃi.¹/i	0	28	i.¹/i ʃ - - i.¹/i
3198	50_animal	animal	NEMAjumbu9	NEM-Ajumbu-9	fúò / kə̀fúólə̀~fúó	fúò	f u.¹/u o.¹/o	mbuu1238		6.53792	10.2556		3 7 7	AXZ	BYU	35	35.B.C 35.Y.V 35.U.V	2.0 1.5 0.8	fu.¹/uo.¹/o	0	23	- f u.¹/u o.¹/o
3199	50_animal	animal	NVIAjumbu1	NVI-Ajumbu-1	fɥò / kə̀fɥòlə̀	fɥò	f ɥ o.¹/o	mbuu1238		6.53792	10.2556		3 6 7	ACX	BJU	45	45.B.C 45.J.C 45.U.V	2.0 1.5 1.5	fɥo.¹/o	0	37	f ɥ o.¹/o
