ID	Concept	Doculect	Value	Tokens
71	see	Tiv_Tivoid	nə̥ŋgə̱	n ə ŋ g ə
72	send	Tiv_Tivoid	tin̥di	t i n d i
73	sing	Tiv_Tivoid	tḁ ca-m̥	t a c a m
74	skin	Tiv_Tivoid	kwav	k w a v
75	sky	Tiv_Tivoid	aɔ̱ndo̱	a ɔ n d o
76	sleep	Tiv_Tivoid	m-nyam	m n j a m
77	smoke	Tiv_Tivoid	m-nyim	m n j i m
78	snake	Tiv_Tivoid	i̱yɔ	i j ɔ
79	spear	Tiv_Tivoid	dagi̱	d a g i
80	steal	Tiv_Tivoid	ihyura̭n	i h j u r a n
81	stone	Tiv_Tivoid	iwə-n̥	i w ə n
82	sun	Tiv_Tivoid	i̱yaŋgə	i j a ŋ g ə
83	tail	Tiv_Tivoid	tsa	ts a
84	ten	Tiv_Tivoid	pu̱ə̱	p u ə
85	three	Tiv_Tivoid	u̱tar	u t a r
86	tongue	Tiv_Tivoid	nombo̭r	n o m b o r
87	tooth	Tiv_Tivoid	inyigh = i-nji-ɣ	i n j i g h i n j i ɣ
88	tree	Tiv_Tivoid	kon	k o n
89	two	Tiv_Tivoid	uẖ a-r̥	u h a r̥
90	urine	Tiv_Tivoid	m-nyandḙm	m n j a n d e m
91	village	Tiv_Tivoid	yaṟ	j a r
92	vomit	Tiv_Tivoid	sua̱	s u a
93	walk	Tiv_Tivoid	dzəṉde	d z ə n d e
94	war	Tiv_Tivoid	ityav	i t j a v
95	water	Tiv_Tivoid	m-gərḙm	m g ə r e m
96	wind	Tiv_Tivoid	ahumbə̥	a h u m b ə
97	woman	Tiv_Tivoid	kwḁsə̥	k w a s ə
98	dew	Tiv_Tivoid	avurə	a v u r ə
99	iron	Tiv_Tivoid	iyɔ-g̥h	i j ɔ g h
100	animal	A11_Londo	n-yàmà	n j a m a
101	arm	A11_Londo	mò-kɔ̀	m o k ɔ
102	ashes	A11_Londo	ù-bu	u b u
103	bark	A11_Londo	ekuku	e k u k u
104	bed	A11_Londo	dì-nɔ̀ŋgɔ̀	d i n ɔ ŋ g ɔ
105	belly	A11_Londo	m-ɛa	m ɛ a
106	big	A11_Londo	kɔlɔ	k ɔ l ɔ
107	bird	A11_Londo	ì-nɔɔ	i n ɔ ɔ
108	bite	A11_Londo	da	d a
109	blood	A11_Londo	mà-cìá	m a c i a
110	bone	A11_Londo	è-sé	e s e
111	breast	A11_Londo	dì-bɛ́ɛ̀	d i b ɛ ɛ
112	burn	A11_Londo	aŋgɛ	a ŋ g ɛ
113	child	A11_Londo	ŋw-ánà	ŋ w a n a
114	cloud	A11_Londo	motutu	m o t u t u
115	come	A11_Londo	ɸɔ	ɸ ɔ
116	count	A11_Londo	laŋga	l a ŋ g a
117	die	A11_Londo	wa	w a
118	dog	A11_Londo	m-fáà	m f a a
119	drink	A11_Londo	ŋwa	ŋ w a
120	ear	A11_Londo	dì-tóò	d i t o o
121	eat	A11_Londo	dì-dá	d i d a
122	egg	A11_Londo	mò-cyé	m o c j e
123	elephant	A11_Londo	n-jɛ̀kù	n j ɛ k u
124	eye	A11_Londo	dì-ísò	d i i s o
125	face	A11_Londo	boso	b o s o
126	fall	A11_Londo	kunda	k u n d a
127	fat, oil	A11_Londo	dì-ɔ́mí	d i ɔ m i
128	feather	A11_Londo	esa	e s a
129	fingernail	A11_Londo	è-sàsà	e s a s a
130	fire	A11_Londo	ŋw-ɛa ~ muea	ŋ w ɛ a
131	fire-wood	A11_Londo	iwori	i w o r i
132	fish	A11_Londo	ɲamamaliba	ɲ a m a m a l i b a
133	five	A11_Londo	beta	b e t a
134	fly	A11_Londo	kolwa	k o l w a
135	four	A11_Londo	beni	b e n i
136	give	A11_Londo	iɲɛ	i ɲ ɛ
137	goat	A11_Londo	m-bódì	m b o d i
138	ground, soil	A11_Londo	moɲɛrɛ	m o ɲ ɛ r ɛ
139	hair	A11_Londo	n-yùŋgà	n j u ŋ g a
140	head	A11_Londo	mò-dófò	m o d o f o
141	hear	A11_Londo	oka	o k a
142	heart	A11_Londo	mò-démà	m o d e m a
143	horn	A11_Londo	mò-sébá	m o s e b a
144	house	A11_Londo	n-dábò	n d a b o
145	hunger	A11_Londo	n-ja	n j a
146	intestine	A11_Londo	è-wùŋgé	e w u ŋ g e
147	kill	A11_Londo	boloa	b o l o a
148	knee	A11_Londo	dì-bɔ́ŋgɔ́	d i b ɔ ŋ g ɔ
149	knife	A11_Londo	dì-ɛ́ndí	d i ɛ n d i
150	know	A11_Londo	iwoa	i w o a
151	leaf	A11_Londo	è-ánì	e a n i
152	leg	A11_Londo	mò-fáŋgá	m o f a ŋ g a
153	liver	A11_Londo	dì-bà	d i b a
154	louse	A11_Londo	ɲa	ɲ a
155	man	A11_Londo	moina	m o i n a
156	moon	A11_Londo	ŋ-gɔndɛ	ŋ g ɔ n d ɛ
157	mouth	A11_Londo	ò-àná	o a n a
158	name	A11_Londo	dì-ínà	d i i n a
159	navel	A11_Londo	dì-tɛ́ŋgù	d i t ɛ ŋ g u
160	neck	A11_Londo	dì-bɔ̀dì	d i b ɔ d i
161	night	A11_Londo	bù-dite	b u d i t e
162	nose	A11_Londo	mò-fìkí	m o f i k i
163	one	A11_Londo	eyɔkɔ	e j ɔ k ɔ
164	person	A11_Londo	mò-tò	m o t o
165	rain	A11_Londo	m-búà	m b u a
166	road	A11_Londo	n-jìá	n j i a
167	root	A11_Londo	muri	m u r i
168	salt	A11_Londo	i-kwa	i k w a
169	sand	A11_Londo	ɲaŋga	ɲ a ŋ g a
170	see	A11_Londo	dɛ̀-ɛ́nɛ̀	d ɛ ɛ n ɛ
171	send	A11_Londo	loma	l o m a
172	shame	A11_Londo	isɔsɔ	i s ɔ s ɔ
173	sing	A11_Londo	kɔnɔ	k ɔ n ɔ
174	skin	A11_Londo	ɲolo	ɲ o l o
175	sky	A11_Londo	ŋw-adoba	ŋ w a d o b a
176	sleep	A11_Londo	iyɔ	i j ɔ
177	smoke	A11_Londo	motutu	m o t u t u
178	snake	A11_Londo	n-yɔ́ɔ̀	n j ɔ ɔ
179	spear	A11_Londo	dì-kɔ̀ŋgɔ́	d i k ɔ ŋ g ɔ
180	steal	A11_Londo	ube	u b e
181	stone	A11_Londo	wà-ádè	w a a d e
182	sun	A11_Londo	loba	l o b a
183	tail	A11_Londo	mò-kòndó	m o k o n d o
184	ten	A11_Londo	dondaro	d o n d a r o
185	three	A11_Londo	beyaro	b e j a r o
186	tongue	A11_Londo	ì-yémè	i j e m e
187	tooth	A11_Londo	dì-sòŋgá	d i s o ŋ g a
188	tree	A11_Londo	bò-dé	b o d e
189	two	A11_Londo	beba	b e b a
190	urine	A11_Londo	m-ínyádí	m i n j a d i
191	village	A11_Londo	mò-kí	m o k i
192	vomit	A11_Londo	yoa	j o a
193	walk	A11_Londo	dì-kɛ̀ndɛ̀	d i k ɛ n d ɛ
194	war	A11_Londo	b-ìdá	b i d a
195	water	A11_Londo	mà-líbá	m a l i b a
196	wind	A11_Londo	ŋguŋga	ŋ g u ŋ g a
197	woman	A11_Londo	ŋw-ádánà	ŋ w a d a n a
198	dew	A11_Londo	bè-kɛdi	b e k ɛ d i
199	iron	A11_Londo	ebo	e b o
200	animal	A121_Mbonge	ɲama	ɲ a m a
201	arm	A121_Mbonge	mokɔ	m o k ɔ
202	ashes	A121_Mbonge	mbu	m b u
203	bark	A121_Mbonge	ekuku	e k u k u
204	bed	A121_Mbonge	linɔŋgɔ	l i n ɔ ŋ g ɔ
205	belly	A121_Mbonge	mea	m e a
206	big	A121_Mbonge	kɔlɔ	k ɔ l ɔ
207	bird	A121_Mbonge	inɔ	i n ɔ
208	bite	A121_Mbonge	da	d a
209	blood	A121_Mbonge	makia	m a k i a
210	bone	A121_Mbonge	ese	e s e
211	breast	A121_Mbonge	dibɛ	d i b ɛ
212	burn	A121_Mbonge	yaŋga	j a ŋ g a
213	child	A121_Mbonge	ŋana	ŋ a n a
214	cloud	A121_Mbonge	ekutukutu	e k u t u k u t u
215	come	A121_Mbonge	fɔ	f ɔ
216	count	A121_Mbonge	laŋga	l a ŋ g a
217	die	A121_Mbonge	wa	w a
218	dog	A121_Mbonge	mgba	m gb a
219	drink	A121_Mbonge	ɲua	ɲ u a
220	ear	A121_Mbonge	dito	d i t o
221	eat	A121_Mbonge	da	d a
222	egg	A121_Mbonge	like	l i k e
223	elephant	A121_Mbonge	njɛku	n j ɛ k u
224	eye	A121_Mbonge	disɔ	d i s ɔ
225	face	A121_Mbonge	boso	b o s o
226	fall	A121_Mbonge	kunda	k u n d a
227	fat, oil	A121_Mbonge	diɔmi	d i ɔ m i
228	feather	A121_Mbonge	esa	e s a
229	fingernail	A121_Mbonge	esɔsɔ	e s ɔ s ɔ
230	fire	A121_Mbonge	ŋea	ŋ e a
231	fire-wood	A121_Mbonge	iyoli	i j o l i
232	fish	A121_Mbonge	ndɔndi	n d ɔ n d i
233	five	A121_Mbonge	beta	b e t a
234	fly	A121_Mbonge	uŋga	u ŋ g a
235	four	A121_Mbonge	bene	b e n e
236	give	A121_Mbonge	ɲɛŋgɛ	ɲ ɛ ŋ g ɛ
237	goat	A121_Mbonge	mboli	m b o l i
238	ground, soil	A121_Mbonge	muɲɛlɛ	m u ɲ ɛ l ɛ
239	hair	A121_Mbonge	ɲuŋga	ɲ u ŋ g a
240	head	A121_Mbonge	molofo	m o l o f o
241	hear	A121_Mbonge	boka	b o k a
242	heart	A121_Mbonge	molema	m o l e m a
243	horn	A121_Mbonge	museba	m u s e b a
244	house	A121_Mbonge	ndabo	n d a b o
245	hunger	A121_Mbonge	nja	n j a
246	intestine	A121_Mbonge	mea	m e a
247	kill	A121_Mbonge	boloa	b o l o a
248	knee	A121_Mbonge	libɔŋgɔ	l i b ɔ ŋ g ɔ
249	knife	A121_Mbonge	dilɛndi	d i l ɛ n d i
250	know	A121_Mbonge	iyoa	i j o a
251	leaf	A121_Mbonge	eya	e j a
252	leg	A121_Mbonge	ŋende	ŋ e n d e
253	liver	A121_Mbonge	libɛ	l i b ɛ
254	louse	A121_Mbonge	ɲia	ɲ i a
255	man	A121_Mbonge	momana	m o m a n a
256	moon	A121_Mbonge	ŋgɔndɛ	ŋ g ɔ n d ɛ
257	mouth	A121_Mbonge	wana	w a n a
258	name	A121_Mbonge	dina	d i n a
259	navel	A121_Mbonge	ditɛŋgu	d i t ɛ ŋ g u
260	neck	A121_Mbonge	dibɛlu	d i b ɛ l u
261	night	A121_Mbonge	bulute	b u l u t e
262	nose	A121_Mbonge	do	d o
263	one	A121_Mbonge	eyɔkɔ	e j ɔ k ɔ
264	person	A121_Mbonge	moto	m o t o
265	rain	A121_Mbonge	mbua	m b u a
266	road	A121_Mbonge	njea	n j e a
267	root	A121_Mbonge	ŋili	ŋ i l i
268	salt	A121_Mbonge	ikpa	i kp a
269	sand	A121_Mbonge	ɲaŋgɛ	ɲ a ŋ g ɛ
270	see	A121_Mbonge	ɛnɛ	ɛ n ɛ
271	send	A121_Mbonge	loma	l o m a
272	shame	A121_Mbonge	isɔ	i s ɔ
273	sing	A121_Mbonge	kɔnɔ	k ɔ n ɔ
274	skin	A121_Mbonge	ekobo	e k o b o
275	sky	A121_Mbonge	loba	l o b a
276	sleep	A121_Mbonge	iyɔ	i j ɔ
277	smoke	A121_Mbonge	motutu	m o t u t u
278	snake	A121_Mbonge	ɲɔ	ɲ ɔ
279	spear	A121_Mbonge	dikɔŋgɔ	d i k ɔ ŋ g ɔ
280	steal	A121_Mbonge	iba	i b a
281	stone	A121_Mbonge	bolale	b o l a l e
282	sun	A121_Mbonge	disɛnji	d i s ɛ n j i
283	tail	A121_Mbonge	mokondo	m o k o n d o
284	ten	A121_Mbonge	dondalo	d o n d a l o
285	three	A121_Mbonge	belalo	b e l a l o
286	tongue	A121_Mbonge	iyeme	i j e m e
287	tooth	A121_Mbonge	disoŋga	d i s o ŋ g a
288	tree	A121_Mbonge	wele	w e l e
289	two	A121_Mbonge	bebe	b e b e
290	urine	A121_Mbonge	miɲali	m i ɲ a l i
291	village	A121_Mbonge	mboka	m b o k a
292	vomit	A121_Mbonge	yoa	j o a
293	walk	A121_Mbonge	kɛndɛ	k ɛ n d ɛ
294	war	A121_Mbonge	bila	b i l a
295	water	A121_Mbonge	maliba	m a l i b a
296	wind	A121_Mbonge	ŋguŋga	ŋ g u ŋ g a
297	woman	A121_Mbonge	ŋalana	ŋ a l a n a
298	dew	A121_Mbonge	bekɛli	b e k ɛ l i
299	iron	A121_Mbonge	ekɔkɔ	e k ɔ k ɔ
300	animal	A122_Bakundu	ɲàmà	ɲ a m a
301	arm	A122_Bakundu	mòkɔ̀	m o k ɔ
302	ashes	A122_Bakundu	mbú	m b u
303	bark	A122_Bakundu	ekuku	e k u k u
304	bed	A122_Bakundu	dìnõ̀ŋɡò	d i n õ ŋ g o
305	belly	A122_Bakundu	ŋʷèà	ŋʷ e a
306	big	A122_Bakundu	kɔrɔ	k ɔ r ɔ
307	bird	A122_Bakundu	īnɔ̄	i n ɔ
308	bite	A122_Bakundu	da	d a
309	blood	A122_Bakundu	màkìà	m a k i a
310	bone	A122_Bakundu	ésé	e s e
311	breast	A122_Bakundu	dìbè	d i b e
312	burn	A122_Bakundu	yaŋga	j a ŋ g a
313	child	A122_Bakundu	ŋʷánà	ŋʷ a n a
314	cloud	A122_Bakundu	mbà	m b a
315	come	A122_Bakundu	iya	i j a
316	count	A122_Bakundu	laŋga	l a ŋ g a
317	die	A122_Bakundu	wa	w a
318	dog	A122_Bakundu	ŋ̀ɡbá	ŋ g b a
319	drink	A122_Bakundu	ŋwa	ŋ w a
320	ear	A122_Bakundu	dìtoỳ	d i t o y
321	eat	A122_Bakundu	da	d a
322	egg	A122_Bakundu	dìkéù	d i k e u
323	elephant	A122_Bakundu	njɔ̀kù	n j ɔ k u
324	eye	A122_Bakundu	dìsɔ̂	d i s ɔː
325	face	A122_Bakundu	bòsó	b o s o
326	fall	A122_Bakundu	kunda	k u n d a
327	fat, oil	A122_Bakundu	dìwɔ́	d i w ɔ
328	feather	A122_Bakundu	esa	e s a
329	fingernail	A122_Bakundu	mòsẽ́ŋɡé	m o s ẽ ŋ g e
330	fire	A122_Bakundu	móá	m o a
331	fire-wood	A122_Bakundu	ícó	i c o
332	fish	A122_Bakundu	ndṍndí	n d õ n d i
333	five	A122_Bakundu	beta	b e t a
334	fly	A122_Bakundu	ɛrua	ɛ r u a
335	four	A122_Bakundu	beni	b e n i
336	give	A122_Bakundu	beke	b e k e
337	goat	A122_Bakundu	mbóḷì	m b o ɾ i
338	ground, soil	A122_Bakundu	moɲɛrɛ	m o ɲ ɛ r ɛ
339	hair	A122_Bakundu	ɲṍŋɡà	ɲ õ ŋ g a
340	head	A122_Bakundu	mòló	m o l o
341	hear	A122_Bakundu	oka	o k a
342	heart	A122_Bakundu	mòḷémá	m o ɾ e m a
343	horn	A122_Bakundu	mòsébá	m o s e b a
344	house	A122_Bakundu	ndábò	n d a b o
345	hunger	A122_Bakundu	nja	n j a
346	intestine	A122_Bakundu	mea	m e a
347	kill	A122_Bakundu	boloa	b o l o a
348	knee	A122_Bakundu	libɔŋgɔ	l i b ɔ ŋ g ɔ
349	knife	A122_Bakundu	mòɲìká	m o ɲ i k a
350	know	A122_Bakundu	icoa	i c o a
351	leaf	A122_Bakundu	ècá	e c a
352	leg	A122_Bakundu	mōpā	m o p a
353	liver	A122_Bakundu	dìbè	d i b e
354	louse	A122_Bakundu	ɲa	ɲ a
355	man	A122_Bakundu	ŋɡʷíáná	ŋ gʷ i a n a
356	moon	A122_Bakundu	ŋgɔndɛ	ŋ g ɔ n d ɛ
357	mouth	A122_Bakundu	wànà	w a n a
358	name	A122_Bakundu	díná	d i n a
359	navel	A122_Bakundu	dìtẽ́ŋɡù	d i t ẽ ŋ g u
360	neck	A122_Bakundu	ŋɡɔ̄	ŋ g ɔ
361	night	A122_Bakundu	bulu	b u l u
362	nose	A122_Bakundu	dò	d o
363	one	A122_Bakundu	eyɔkɔ	e j ɔ k ɔ
364	person	A122_Bakundu	mòtò	m o t o
365	rain	A122_Bakundu	mbúà	m b u a
366	road	A122_Bakundu	njea	n j e a
367	root	A122_Bakundu	mòkákù	m o k a k u
368	salt	A122_Bakundu	íkʷá	i kʷ a
369	sand	A122_Bakundu	ɲaŋgu	ɲ a ŋ g u
370	see	A122_Bakundu	ɛnɛ	ɛ n ɛ
371	send	A122_Bakundu	loma	l o m a
372	shame	A122_Bakundu	isɔ	i s ɔ
373	sing	A122_Bakundu	kɔnɔ	k ɔ n ɔ
374	skin	A122_Bakundu	ekobo	e k o b o
375	sky	A122_Bakundu	óŋʷá ḷòbà	o ŋʷ a ɾ o b a
376	sleep	A122_Bakundu	iyɔ	i j ɔ
377	smoke	A122_Bakundu	motutu	m o t u t u
378	snake	A122_Bakundu	ɲɔ̀	ɲ ɔ
379	spear	A122_Bakundu	dìkɔ̃̀ŋɡɔ̀	d i k ɔ̃ ŋ g ɔ
380	steal	A122_Bakundu	iɸa	i ɸ a
381	stone	A122_Bakundu	bòlɛ̀	b o l ɛ
382	sun	A122_Bakundu	lòbà	l o b a
383	tail	A122_Bakundu	mòkõ̀ndò	m o k õ n d o
384	ten	A122_Bakundu	londalo	l o n d a l o
385	three	A122_Bakundu	beraro	b e r a r o
386	tongue	A122_Bakundu	lyémè	l j e m e
387	tooth	A122_Bakundu	dìsõ̀ŋɡá	d i s õ ŋ g a
388	tree	A122_Bakundu	bòlé	b o l e
389	two	A122_Bakundu	bebe	b e b e
390	urine	A122_Bakundu	miyali	m i j a l i
391	village	A122_Bakundu	mbókà	m b o k a
392	vomit	A122_Bakundu	coa	c o a
393	walk	A122_Bakundu	aka	a k a
394	war	A122_Bakundu	bìlá	b i l a
395	water	A122_Bakundu	màḷìbà	m a ɾ i b a
396	wind	A122_Bakundu	ekwili	e k w i l i
397	woman	A122_Bakundu	ŋʷáláná	ŋʷ a l a n a
398	dew	A122_Bakundu	βekɛri	β e k ɛ r i
399	iron	A122_Bakundu	èkè	e k e
400	animal	A141_Lefo	ɲàm	ɲ a m
401	arm	A141_Lefo	ŋ̀-kwɛ̀n	ŋ k w ɛ n
402	ashes	A141_Lefo	mbùmbû	m b u m b u
403	bark	A141_Lefo	mbísìbwɛ̌	m b i s i b w ɛ
404	bed	A141_Lefo	wù-tì	w u t i
405	belly	A141_Lefo	lì-bùm	l i b u m
406	big	A141_Lefo	-tòn	t o n
407	bird	A141_Lefo	wù-nɔ̀n	w u n ɔ n
408	bite	A141_Lefo	kwàké	k w a k e
409	blood	A141_Lefo	mà-kìí	m a k i i
410	bone	A141_Lefo	ɛ̀-fìˀ	ɛ f i ʔ
411	breast	A141_Lefo	lè-bê	l e b e
412	burn	A141_Lefo	wɔ̀ké	w ɔ k e
413	child	A141_Lefo	mw-ǎn	m w a n
414	cloud	A141_Lefo	lì-báŋ	l i b a ŋ
415	come	A141_Lefo	pāʔ	p a ʔ
416	count	A141_Lefo	láŋ	l a ŋ
417	die	A141_Lefo	wá	w a
418	dog	A141_Lefo	mbwá	m b w a
419	drink	A141_Lefo	-mwá	m w a
420	ear	A141_Lefo	ɛ̀-túì	ɛ t u i
421	eat	A141_Lefo	-dyá	d j a
422	egg	A141_Lefo	lè-kə́	l e k əː
423	elephant	A141_Lefo	ɲjɔ̀ˀ	ɲ j ɔ ʔ
424	eye	A141_Lefo	d-ǐˀ	d i ʔ
425	face	A141_Lefo	wò-sú	w o s u
426	fall	A141_Lefo	kún	k u n
427	fat, oil	A141_Lefo	lè-fɔ́ŋ	l e f ɔ ŋ
428	feather	A141_Lefo	è-ʃə́ˀ	e ʃ əː ʔ
429	fingernail	A141_Lefo	ɲǎn	ɲ a n
430	fire	A141_Lefo	mùí	m u i
431	fire-wood	A141_Lefo	li-yūè	l i j u e
432	fish	A141_Lefo	ʃüè	ʃ uʱ e
433	five	A141_Lefo	-táàn	t a a n
434	fly	A141_Lefo	-fùmú	f u m u
435	four	A141_Lefo	-nììn	n i i n
436	give	A141_Lefo	baˀ	b a ʔ
437	goat	A141_Lefo	mból	m b o l
438	ground, soil	A141_Lefo	ndɔ̀ˀ	n d ɔ ʔ
439	hair	A141_Lefo	ɲùŋ	ɲ u ŋ
440	head	A141_Lefo	ǹ-ló	n l o
441	hear	A141_Lefo	wóˀ	w o ʔ
442	heart	A141_Lefo	ǹ-lə́m	n l əː m
443	horn	A141_Lefo	tɔ́ŋ	t ɔ ŋ
444	house	A141_Lefo	ndáˀ	n d a ʔ
445	hunger	A141_Lefo	njɛ̀	n j ɛ
446	intestine	A141_Lefo	ǹ-yà	n j a
447	kill	A141_Lefo	bólò	b o l o
448	knee	A141_Lefo	lì-bɔ́ŋ	l i b ɔ ŋ
449	knife	A141_Lefo	dì-lɛ́ndɛ́	d i l ɛ n d ɛ
450	know	A141_Lefo	bí	b i
451	leaf	A141_Lefo	ì-yɛ́	i j ɛ
452	leg	A141_Lefo	ɛ̀-kwè	ɛ k w e
453	liver	A141_Lefo	lì-bɛ̀	l i b ɛ
454	louse	A141_Lefo	ɲè	ɲ e
455	man	A141_Lefo	mò-mâŋ	m o m a ŋ
456	moon	A141_Lefo	ŋgɔ̀n	ŋ g ɔ n
457	mouth	A141_Lefo	ǹ-sò	n s o
458	name	A141_Lefo	d-ǐn	d i n
459	navel	A141_Lefo	wù-tɔ́ŋ	w u t ɔ ŋ
460	neck	A141_Lefo	lè-bɔ̀ˀ	l e b ɔ ʔ
461	night	A141_Lefo	wù-dúù	w u d u u
462	nose	A141_Lefo	dúì	d u i
463	one	A141_Lefo	-fɔ́ʔ	f ɔ ʔ
464	person	A141_Lefo	mɔ̀ˀ	m ɔ ʔ
465	rain	A141_Lefo	mbú	m b u
466	road	A141_Lefo	m̀-bòkà	m b o k a
467	root	A141_Lefo	ŋ̀-káŋgá	ŋ k a ŋ g a
468	salt	A141_Lefo	ù-kwǎ	u k w a
469	sand	A141_Lefo	fyàŋgúˀ	f j a ŋ g u ʔ
470	see	A141_Lefo	-mín	m i n
471	send	A141_Lefo	lúm	l u m
472	shame	A141_Lefo	wù-ʃɔ́n	w u ʃ ɔ n
473	sing	A141_Lefo	kɔ́n	k ɔ n
474	skin	A141_Lefo	ŋgò	ŋ g o
475	sky	A141_Lefo	ámwěn	a m w e n
476	sleep	A141_Lefo	wù-yɔ́	w u j ɔ
477	smoke	A141_Lefo	ǹ-tútù	n t u t u
478	snake	A141_Lefo	ɲɔ̌	ɲ ɔ
479	spear	A141_Lefo	ɛ̀-lɔ̂	ɛ l ɔː
480	steal	A141_Lefo	jiˀ	j i ʔ
481	stone	A141_Lefo	dì-lɛ́	d i l ɛ
482	sun	A141_Lefo	dǔlù	d u l u
483	tail	A141_Lefo	ŋ̀-kòn	ŋ k o n
484	ten	A141_Lefo	dyôm	d j o m
485	three	A141_Lefo	-láán	l a a n
486	tongue	A141_Lefo	ɛ̀-yə́m	ɛ j əː m
487	tooth	A141_Lefo	lè-sòŋ	l e s o ŋ
488	tree	A141_Lefo	bw-ɛ̌	b w ɛ
489	two	A141_Lefo	-bɛ̂	b ɛ
490	urine	A141_Lefo	mə̀-níà	m ə n i a
491	village	A141_Lefo	ŋ̀-kí	ŋ k i
492	vomit	A141_Lefo	-yūé	j u e
493	walk	A141_Lefo	-kə̀	k ə
494	war	A141_Lefo	bilá	b i l a
495	water	A141_Lefo	mà-déˀ	m a d e ʔ
496	wind	A141_Lefo	ŋgùŋgù	ŋ g u ŋ g u
497	woman	A141_Lefo	mw-àlân	m w a l a n
498	dew	A141_Lefo	bè-kə̀kí	b e k ə k i
499	iron	A141_Lefo	ɛ̀-kèˀ	ɛ k e ʔ
500	animal	A15A_Mbuu	ɲàm	ɲ a m
